Freq (-1°C),Phase (-1°C),Freq (-2°C),Phase (-2°C),Freq (-3°C),Phase (-3°C),Freq (-5°C),Phase (-5°C),Freq (-7.5°C),Phase (-7.5°C),Freq (-10°C),Phase (-10°C)
16.06378760294052,-3.54485880921066,16.06378760294052,-2.202275992247821,16.237767391887218,-2.2607706240327006,16.06378760294052,-3.1546329894136096,16.06378760294052,-6.3959391270675745,16.06378760294052,-8.260416588318408
16.548417863292308,-3.360061113679194,16.548417863292308,-2.136638239621119,16.726441189613944,-2.1854557337234954,16.548417863292308,-3.255920023793058,16.548417863292308,-6.5484303496900536,16.548417863292308,-8.641091642483715
17.04766898984665,-3.181831400602352,17.04766898984665,-2.0758169983910273,17.229821570753362,-2.119059407350051,17.04766898984665,-3.3616458624686043,17.04766898984665,-6.707109434430821,17.04766898984665,-9.017147507310716
17.561982081201784,-3.0101134180419944,17.561982081201784,-2.019781660962736,17.7483511282922,-2.0614577549770647,17.561982081201784,-3.4717380621425127,17.561982081201784,-6.871815461397823,17.561982081201784,-9.388621713066113
18.091811543510442,-2.8448509140599767,18.091811543510442,-1.9685016197414262,18.28248577500375,-2.012526886669229,18.091811543510442,-3.5861241795170566,18.091811543510442,-7.042387510699012,18.091811543510442,-9.755551790016636
18.637625491956946,-2.6859876367181577,18.637625491956946,-1.9219462671322851,18.832695144305323,-1.9721429124912409,18.637625491956946,-3.704731771294499,18.637625491956946,-7.218664662442336,18.637625491956946,-10.117975268428992
19.199906164346633,-2.533467334078391,19.199906164346633,-1.8800849955404957,19.399463003179534,-1.9401819425077953,19.199906164346633,-3.827488394177113,19.199906164346633,-7.400485996735752,19.199906164346633,-10.475929678569907
19.779150347172727,-2.3872337542025424,19.779150347172727,-1.8428871973712435,19.983287677522338,-1.916520086783589,19.779150347172727,-3.9543216048671614,19.779150347172727,-7.587690593687204,19.779150347172727,-10.829452550706089
20.375869814537516,-2.247230645152457,20.375869814537516,-1.810322265029713,20.584682490291954,-1.9010334553833161,20.375869814537516,-4.085158960066918,20.375869814537516,-7.780117533404649,20.375869814537516,-11.178581415104263
20.99059178031512,-2.113401754990002,20.99059178031512,-1.7823595909210899,21.204176212843716,-1.893598158371673,20.99059178031512,-4.219928016478645,20.99059178031512,-7.97760589599603,20.99059178031512,-11.523353802031139
21.62385936395588,-1.9856908317770312,21.62385936395588,-1.7589685674505573,21.84231352984791,-1.894090305813355,21.62385936395588,-4.358556330804616,21.62385936395588,-8.179994761569306,21.62385936395588,-11.863807241753445
22.27623207034339,-1.864041623575401,22.27623207034339,-1.740118587023302,22.499655518199187,-1.9023860077730572,22.27623207034339,-4.500971459747094,22.27623207034339,-8.387123210232424,22.27623207034339,-12.19997926453788
22.948286284128656,-1.74839787844697,22.948286284128656,-1.7257790420445063,23.176780140338728,-1.9183613743154748,22.948286284128656,-4.64710096000835,22.948286284128656,-8.598830322093335,22.948286284128656,-12.531907400651182
23.64061577897761,-1.638703344453596,23.64061577897761,-1.715919324919357,23.87428275242291,-1.9418925155053048,23.64061577897761,-4.7968723882906525,23.64061577897761,-8.81495517725999,23.64061577897761,-12.859629180360052
24.35383224218244,-1.5349017696571332,24.35383224218244,-1.7105088280530385,24.592776627785184,-1.972855541407241,24.35383224218244,-4.95021330129627,24.35383224218244,-9.03533685584034,24.35383224218244,-13.183182133931217
25.088565815099713,-1.4369369021194436,25.088565815099713,-1.709516943850735,25.332893496151538,-2.0111265620859804,25.088565815099713,-5.107051255727468,25.088565815099713,-9.259814437942333,25.088565815099713,-13.502603791631387
25.84546564989331,-1.3447524899023795,25.84546564989331,-1.7129130647176316,26.095284099083578,-2.056581687606218,25.84546564989331,-5.267313808286518,25.84546564989331,-9.488227003673925,25.84546564989331,-13.817931683727284
26.625200483073513,-1.258292281067803,26.625200483073513,-1.7206665830589136,26.880618762137573,-2.109097028032648,26.625200483073513,-5.430928515675682,26.625200483073513,-9.720413633143067,26.625200483073513,-14.129203340485619
27.428459226339566,-1.1775000236775675,27.428459226339566,-1.7327468912797652,27.689587984242642,-2.1685486934299676,27.428459226339566,-5.597822934597237,27.428459226339566,-9.956213406457708,27.428459226339566,-14.436456292173123
28.25595157524713,-1.1023194657935325,28.25595157524713,-1.7491233817853709,28.5229030448161,-2.234812793862871,28.25595157524713,-5.767924621753443,28.25595157524713,-10.195465403725793,28.25595157524713,-14.739728069056497
29.108408636238973,-1.032694355477554,29.108408636238973,-1.7697654469809156,29.38129662914996,-2.3077654393960554,29.108408636238973,-5.941161133846575,29.108408636238973,-10.438008705055282,29.108408636238973,-15.039056201402467
29.986583572592377,-0.9685684407914911,29.986583572592377,-1.7946424792715845,30.26552347261834,-2.3872827400942147,29.986583572592377,-6.117460027578895,29.986583572592377,-10.68368239055412,29.986583572592377,-15.334478219477742
30.89125226985443,-0.9098854697971991,30.89125226985443,-1.8237238710625625,31.176361024272214,-2.4732408060220434,30.89125226985443,-6.296748859652677,30.89125226985443,-10.93232554033026,30.89125226985443,-15.626031653549054
31.823214021352687,-0.8565891905565366,31.823214021352687,-1.8569790147590333,32.11461013040502,-2.5655157472442403,31.823214021352687,-6.478955186770182,31.823214021352687,-11.18377723449165,31.823214021352687,-15.9137540338831
32.78329223438733,-0.8086233511313596,32.78329223438733,-1.8943773027661837,33.08109573869001,-2.6639836738254994,32.78329223438733,-6.664006565633684,32.78329223438733,-11.437876553146252,32.78329223438733,-16.197682890746616
