Freq (-1°C),Resistivity (-1°C),Freq (-2°C),Resistivity (-2°C),Freq (-3°C),Resistivity (-3°C),Freq (-5°C),Resistivity (-5°C),Freq (-7.5°C),Resistivity (-7.5°C),Freq (-10°C),Resistivity (-10°C)
17.841385264956266,4017.9081084894005,17.841385264956266,8016.78063387679,18.03017740859569,12473.835142429432,17.841385264956266,25118.864315095823,17.841385264956266,49659.23214503358,17.841385264956266,79432.82347242821
17.841385264956266,3698.2817978026624,17.841385264956266,7379.042301291008,18.03017740859569,11587.773561551263,17.841385264956266,23120.64790175594,17.841385264956266,46131.75745603791,17.841385264956266,84722.74141405962
18.03017740859569,4055.085354483839,18.805535912662624,7379.042301291008,20.457715884395025,11587.773561551263,18.03017740859569,22908.676527677744,18.03017740859569,50118.72336272725,18.03017740859569,85506.67128846841
18.03017740859569,3698.2817978026624,19.004530406896954,7311.390834834172,20.674193247471045,11481.536214968839,20.03153756071673,25118.864315095823,18.41377605948939,46131.75745603791,18.03017740859569,86297.85477669702
18.220967293608368,4055.085354483839,21.114044307076522,8016.78063387679,21.337466739047674,12473.835142429432,20.243505233647905,24888.573182823904,18.608625069425607,45708.818961487515,18.220967293608368,79432.82347242821
18.220967293608368,3664.375746478333,21.337466739047674,7943.282347242814,21.563253359630995,12359.47433444512,20.892961308540396,22908.676527677744,19.61423745025637,50118.72336272725,18.41377605948939,78704.57896950985
18.41377605948939,4017.9081084894005,22.4905460583578,7311.390834834172,24.987009718176346,11481.536214968839,21.114044307076522,22698.64851883821,19.821789379610184,49659.23214503358,19.205630600693333,86297.85477669702
18.608625069425607,3664.375746478333,22.728534215606928,7244.359600749898,25.251414698943137,11376.27285823431,22.969040691568452,24888.573182823904,20.243505233647905,45708.818961487515,19.408858775927783,78704.57896950985
18.805535912662624,3698.2817978026624,25.251414698943137,7943.282347242814,26.33731078764232,12359.47433444512,23.21209213432944,24660.393372343362,20.457715884395025,45289.75799036204,19.408858775927783,85506.67128846841
19.408858775927783,3698.2817978026624,25.518617533260333,7870.457896950985,26.6160042459952,12246.16199265049,24.210290467361776,22698.64851883821,21.563253359630995,49659.23214503358,19.61423745025637,77983.01105232578
19.61423745025637,3664.375746478333,26.897646754247464,7244.359600749898,30.51907936274005,11376.27285823431,24.466476439896326,22490.546058357824,21.791429185955476,49203.95356814511,20.457715884395025,85506.67128846841
22.022019499873757,4017.9081084894005,27.182269518353365,7177.9429127136145,30.842023031587917,11271.974561755093,26.33731078764232,24660.393372343362,22.25504985076341,45289.75799036204,20.674193247471045,84722.74141405962
22.25504985076341,3981.0717055349733,30.51907936274005,7870.457896950985,32.852727285997844,12246.16199265049,26.6160042459952,24434.305526939712,22.4905460583578,44874.538993313225,20.892961308540396,77983.01105232578
23.705937925491984,3664.375746478333,30.842023031587917,7798.3011052325855,33.20036491147457,12133.888504649762,27.469904074479135,22490.546058357824,23.95678699194466,49203.95356814511,21.114044307076522,77268.05850957021
23.95678699194466,3630.780547701014,32.852727285997844,7177.9429127136145,36.1172175986671,11271.974561755093,27.76058229249715,22284.35149270303,24.210290467361776,48752.8490103386,21.791429185955476,84722.74141405962
27.76058229249715,3981.0717055349733,33.20036491147457,7112.135136533288,36.499399073450704,11168.632477805611,29.57039615792526,24434.305526939712,24.725373294921603,44874.538993313225,22.022019499873757,83945.99865193963
28.05433637951713,3944.573020752785,37.67037989839089,7798.3011052325855,38.87892835806441,12133.888504649762,29.88330114798156,24210.2904673618,24.987009718176346,44463.126746910835,22.25504985076341,77268.05850957021
29.57039615792526,3630.780547701014,38.06899646695395,7726.805850957021,39.29033342096272,12022.644346174131,30.51907936274005,22284.35149270303,26.33731078764232,48752.8490103386,22.4905460583578,76559.66069112568
29.88330114798156,3597.4933515574235,39.706091847827736,7112.135136533288,41.85181392066283,11168.632477805611,30.842023031587917,22080.047330189012,26.6160042459952,48305.880203977285,23.21209213432944,83945.99865193963
35.36481809624438,3944.573020752785,40.12624970464053,7046.930689671467,42.294677159584076,11066.237839776675,33.20036491147457,24210.2904673618,26.6160042459952,44463.126746910835,23.45771547395898,83176.37711026709
35.739037907018954,3908.408957924021,45.05202181290241,7726.805850957021,44.580286700119046,12022.644346174131,33.5516811331785,23988.3291901949,26.897646754247464,44055.486350655345,23.45771547395898,76559.66069112568
38.06899646695395,3597.4933515574235,45.528748683996575,7655.966069112561,45.05202181290241,11912.420080273763,34.62809269744552,22080.047330189012,28.05433637951713,48305.880203977285,23.705937925491984,75857.75750291835
38.47183107550393,3564.5113342624422,47.98912784632294,7046.930689671467,49.52872438599644,11066.237839776675,34.99451670283573,21877.616239495517,28.351198883454746,47863.00923226381,24.725373294921603,83176.37711026709
43.19451196046997,3908.408957924021,48.49693428528198,6982.324040771711,50.05282236996434,10964.78196143185,37.67037989839089,23988.3291901949,28.651202696637803,44055.486350655345,24.987009718176346,82413.8115013003
43.651583224016605,3872.5764492161725,53.880122125259845,7655.966069112561,52.205262725798136,11912.420080273763,38.06899646695395,23768.402866248736,28.95438105945083,43651.58322401656,24.987009718176346,75857.75750291835
46.01052013467844,3564.5113342624422,54.450265284242114,7585.775750291836,52.75768302909273,11803.2063565173,38.87892835806441,21877.616239495517,29.88330114798156,47863.00923226381,25.251414698943137,75162.28940182044
46.49738954516377,3531.8316979195697,57.39276429774088,6982.324040771711,57.39276429774088,10964.78196143185,39.29033342096272,21677.041048196963,30.19951720402016,47424.198526024484,26.06153549998895,82413.8115013003
