Freq (-1°C),Phase (-1°C),Freq (-2°C),Phase (-2°C),Freq (-3°C),Phase (-3°C),Freq (-5°C),Phase (-5°C),Freq (-7.5°C),Phase (-7.5°C),Freq (-10°C),Phase (-10°C)
16.06378760294052,-1.2371134020618584,16.06378760294052,-2.0618556701030926,16.237767391887218,-1.2371134020618584,16.06378760294052,-3.3814432989690744,16.06378760294052,-7.010309278350519,16.06378760294052,-9.731958762886599
16.06378760294052,-1.0721649484536115,16.06378760294052,-1.3195876288659818,16.237767391887218,-1.8969072164948457,16.06378760294052,-3.876288659793815,16.06378760294052,-6.515463917525771,16.06378760294052,-10.309278350515463
16.06378760294052,-1.154639175257735,16.237767391887218,-1.154639175257735,16.41363147908973,-1.154639175257735,16.237767391887218,-3.2164948453608275,16.41363147908973,-7.175257731958766,16.59140027255025,-9.484536082474229
16.237767391887218,-1.0721649484536115,16.952734717798364,-1.154639175257735,16.59140027255025,-1.154639175257735,16.237767391887218,-3.298969072164951,16.59140027255025,-6.268041237113401,16.952734717798364,-9.567010309278352
16.59140027255025,-1.0721649484536115,16.952734717798364,-2.0618556701030926,16.59140027255025,-1.8969072164948457,16.237767391887218,-3.9587628865979383,16.59140027255025,-7.175257731958766,16.952734717798364,-9.484536082474229
17.136342300342093,-1.0721649484536115,17.699182866459555,-1.2371134020618584,16.771094401301063,-1.9793814432989691,16.41363147908973,-3.134020618556704,16.952734717798364,-6.268041237113401,17.32193845552197,-9.731958762886599
17.32193845552197,-1.154639175257735,17.89087489923219,-1.2371134020618584,16.771094401301063,-1.2371134020618584,16.41363147908973,-3.9587628865979383,17.32193845552197,-7.5051546391752595,17.50954472068995,-9.731958762886599
18.084643063750903,-1.154639175257735,18.678630424742785,-1.3195876288659818,17.32193845552197,-1.2371134020618584,16.59140027255025,-4.041237113402062,17.50954472068995,-7.5051546391752595,17.699182866459555,-9.896907216494846
18.2805098456817,-1.2371134020618584,19.292127210597208,-1.3195876288659818,17.32193845552197,-1.9793814432989691,16.771094401301063,-3.134020618556704,17.699182866459555,-6.597938144329895,17.699182866459555,-9.814432989690722
19.92577420541743,-1.2371134020618584,19.92577420541743,-1.4020618556701052,17.50954472068995,-1.3195876288659818,16.952734717798364,-3.2164948453608275,17.89087489923219,-7.670103092783506,22.19212195722848,-12.865979381443296
20.141581465607022,-1.3195876288659818,21.02843815547939,-1.4020618556701052,17.50954472068995,-2.0618556701030926,16.952734717798364,-4.041237113402062,17.89087489923219,-6.597938144329895,22.19212195722848,-12.783505154639172
22.921018840054224,-1.3195876288659818,21.02843815547939,-1.4020618556701052,18.084643063750903,-1.3195876288659818,17.136342300342093,-3.2164948453608275,18.084643063750903,-7.670103092783506,23.420202362303097,-12.041237113402062
23.169266272030104,-1.4020618556701052,21.256187881919946,-1.4845360824742286,18.2805098456817,-1.4020618556701052,17.136342300342093,-4.123711340206185,18.478497974222904,-6.845360824742265,23.420202362303097,-12.123711340206185
24.716242986965295,-1.4020618556701052,21.256187881919946,-1.4845360824742286,18.478497974222904,-2.0618556701030926,17.32193845552197,-4.123711340206185,18.678630424742785,-7.917525773195877,23.673856230543763,-12.206185567010309
24.983933698814624,-1.0721649484536115,21.954344151867943,-1.4845360824742286,18.678630424742785,-2.144329896907216,17.32193845552197,-3.298969072164951,18.678630424742785,-6.845360824742265,23.673856230543763,-13.360824742268044
