TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,4728.333,0.01,6.813E-06,2.408E-01,5.1E-07,3.0E-05
47,285,3.0,31.42,2,2,3265.333,0.02,8.688E-06,1.663E-01,5.1E-07,3.0E-05
47,285,3.0,31.42,2,3,2304.333,0.03,1.113E-05,1.173E-01,5.1E-07,3.0E-05
47,285,3.0,31.42,2,4,1746.667,0.03,1.419E-05,8.895E-02,5.1E-07,3.0E-05
47,285,3.0,31.42,2,5,1390.333,0.04,1.807E-05,7.080E-02,5.1E-07,3.0E-05
47,285,3.0,31.42,2,6,1154.000,0.01,2.306E-05,5.877E-02,5.1E-07,6.4E-06
47,285,3.0,31.42,2,7,978.700,0.03,2.944E-05,4.984E-02,5.1E-07,1.6E-05
47,285,3.0,31.42,2,8,836.467,0.03,3.756E-05,4.260E-02,5.1E-07,1.3E-05
47,285,3.0,31.42,2,9,702.033,0.04,4.794E-05,3.575E-02,5.1E-07,1.3E-05
47,285,3.0,31.42,2,10,570.800,0.04,6.113E-05,2.907E-02,5.1E-07,1.1E-05
47,285,3.0,31.42,2,11,440.733,0.03,7.794E-05,2.244E-02,5.1E-07,8.3E-06
47,285,3.0,31.42,2,12,318.167,0.02,9.938E-05,1.620E-02,5.1E-07,3.5E-06
47,285,3.0,31.42,2,13,211.067,0.03,1.267E-04,1.075E-02,5.1E-07,3.5E-06
47,285,3.0,31.42,2,14,117.133,0.05,1.664E-04,5.965E-03,5.1E-07,3.5E-06
47,285,3.0,31.42,2,15,67.147,0.03,2.060E-04,3.419E-03,5.1E-07,1.4E-06
47,285,3.0,31.42,2,16,31.037,0.05,2.628E-04,1.580E-03,5.1E-07,1.3E-06
47,285,3.0,31.42,2,17,12.310,0.08,3.352E-04,6.269E-04,5.1E-07,1.0E-06
47,285,3.0,31.42,2,18,4.215,0.11,4.277E-04,2.146E-04,5.1E-07,7.5E-07
47,285,3.0,31.42,2,19,1.312,0.50,5.456E-04,6.679E-05,5.1E-07,8.4E-07
47,285,3.0,31.42,2,20,0.435,2.29,6.959E-04,2.215E-05,5.1E-07,1.0E-06
47,75,3.0,31.42,5,1,6476.000,0.12,3.525E-05,4.122E-02,6.4E-08,5.1E-05
47,75,3.0,31.42,5,2,5694.000,0.12,4.275E-05,3.624E-02,6.4E-08,4.5E-05
47,75,3.0,31.42,5,3,4864.333,0.13,5.250E-05,3.096E-02,6.4E-08,4.2E-05
47,75,3.0,31.42,5,4,4025.000,0.12,6.475E-05,2.562E-02,6.4E-08,3.2E-05
47,75,3.0,31.42,5,5,3172.000,0.13,8.025E-05,2.019E-02,6.4E-08,2.6E-05
47,75,3.0,31.42,5,6,2342.000,0.13,1.003E-04,1.491E-02,6.4E-08,1.9E-05
47,75,3.0,31.42,5,7,1598.000,0.13,1.258E-04,1.017E-02,6.4E-08,1.3E-05
47,75,3.0,31.42,5,8,992.033,0.13,1.583E-04,6.315E-03,6.4E-08,8.4E-06
47,75,3.0,31.42,5,9,549.267,0.13,1.998E-04,3.496E-03,6.4E-08,4.5E-06
47,75,3.0,31.42,5,10,267.633,0.13,2.525E-04,1.704E-03,6.4E-08,2.3E-06
47,75,3.0,31.42,5,11,113.367,0.12,3.198E-04,7.216E-04,6.4E-08,9.6E-07
47,75,3.0,31.42,5,12,42.097,0.19,4.055E-04,2.680E-04,6.4E-08,5.8E-07
47,75,3.0,31.42,5,13,14.637,1.03,5.148E-04,9.317E-05,6.4E-08,1.0E-06
47,75,3.0,31.42,5,14,5.594,2.73,6.543E-04,3.561E-05,6.4E-08,1.0E-06
47,75,3.0,31.42,5,15,2.769,2.02,8.323E-04,1.763E-05,6.4E-08,4.2E-07
47,75,3.0,31.42,5,16,1.722,5.29,1.059E-03,1.096E-05,6.4E-08,6.4E-07
47,75,3.0,31.42,5,17,1.188,8.09,1.349E-03,7.564E-06,6.4E-08,6.8E-07
47,75,3.0,31.42,5,18,0.828,11.95,1.719E-03,5.273E-06,6.4E-08,6.9E-07
47,75,3.0,31.42,5,19,0.599,15.37,2.190E-03,3.812E-06,6.4E-08,6.5E-07
47,75,3.0,31.42,5,20,0.427,27.24,2.792E-03,2.720E-06,6.4E-08,8.0E-07
47,30,3.0,31.42,5,1,2849.667,0.28,8.813E-05,1.814E-02,6.4E-08,5.1E-05
47,30,3.0,31.42,5,2,2145.667,0.28,1.069E-04,1.366E-02,6.4E-08,3.8E-05
47,30,3.0,31.42,5,3,1491.000,0.27,1.313E-04,9.491E-03,6.4E-08,2.6E-05
47,30,3.0,31.42,5,4,952.233,0.27,1.619E-04,6.061E-03,6.4E-08,1.7E-05
47,30,3.0,31.42,5,5,549.200,0.28,2.006E-04,3.496E-03,6.4E-08,9.9E-06
47,30,3.0,31.42,5,6,278.067,0.29,2.506E-04,1.770E-03,6.4E-08,5.2E-06
47,30,3.0,31.42,5,7,122.833,0.29,3.144E-04,7.819E-04,6.4E-08,2.3E-06
47,30,3.0,31.42,5,8,47.730,0.32,3.956E-04,3.038E-04,6.4E-08,1.0E-06
47,30,3.0,31.42,5,9,17.247,0.39,4.994E-04,1.098E-04,6.4E-08,4.9E-07
47,30,3.0,31.42,5,10,6.791,0.91,6.313E-04,4.323E-05,6.4E-08,4.6E-07
47,30,3.0,31.42,5,11,3.422,2.13,7.994E-04,2.178E-05,6.4E-08,5.3E-07
47,30,3.0,31.42,5,12,2.199,1.15,1.014E-03,1.400E-05,6.4E-08,2.3E-07
47,30,3.0,31.42,5,13,1.589,3.02,1.287E-03,1.011E-05,6.4E-08,3.7E-07
47,30,3.0,31.42,5,14,1.201,6.61,1.636E-03,7.643E-06,6.4E-08,5.7E-07
47,30,3.0,31.42,5,15,0.880,6.96,2.081E-03,5.601E-06,6.4E-08,4.5E-07
47,30,3.0,31.42,5,16,0.695,10.85,2.648E-03,4.422E-06,6.4E-08,5.4E-07
47,30,3.0,31.42,5,17,0.518,9.32,3.373E-03,3.300E-06,6.4E-08,3.7E-07
47,30,3.0,31.42,5,18,0.398,18.34,4.297E-03,2.533E-06,6.4E-08,5.3E-07
47,30,3.0,31.42,5,19,0.310,21.02,5.475E-03,1.976E-06,6.4E-08,4.8E-07
47,30,3.0,31.42,5,20,0.243,31.98,6.978E-03,1.544E-06,6.4E-08,5.6E-07
57,30,8.6,31.42,6,1,11160.000,0.09,8.813E-05,1.239E-02,1.1E-08,1.1E-05
57,30,8.6,31.42,6,2,8706.333,0.13,1.069E-04,9.666E-03,1.1E-08,1.2E-05
57,30,8.6,31.42,6,3,6097.667,0.12,1.313E-04,6.770E-03,1.1E-08,8.4E-06
57,30,8.6,31.42,6,4,3930.667,0.11,1.619E-04,4.364E-03,1.1E-08,5.0E-06
57,30,8.6,31.42,6,5,2296.000,0.13,2.006E-04,2.549E-03,1.1E-08,3.3E-06
57,30,8.6,31.42,6,6,1183.667,0.13,2.506E-04,1.314E-03,1.1E-08,1.7E-06
57,30,8.6,31.42,6,7,536.967,0.11,3.144E-04,5.962E-04,1.1E-08,6.9E-07
57,30,8.6,31.42,6,8,217.267,0.12,3.956E-04,2.412E-04,1.1E-08,2.9E-07
57,30,8.6,31.42,6,9,83.567,0.10,4.994E-04,9.278E-05,1.1E-08,1.0E-07
57,30,8.6,31.42,6,10,35.623,0.19,6.313E-04,3.955E-05,1.1E-08,8.8E-08
57,30,8.6,31.42,6,11,19.273,0.42,7.994E-04,2.140E-05,1.1E-08,1.0E-07
57,30,8.6,31.42,6,12,12.633,1.20,1.014E-03,1.403E-05,1.1E-08,1.8E-07
57,30,8.6,31.42,6,13,9.070,0.65,1.287E-03,1.007E-05,1.1E-08,7.7E-08
57,30,8.6,31.42,6,14,6.740,1.10,1.636E-03,7.483E-06,1.1E-08,9.3E-08
57,30,8.6,31.42,6,15,5.041,2.08,2.081E-03,5.597E-06,1.1E-08,1.3E-07
57,30,8.6,31.42,6,16,3.711,3.61,2.648E-03,4.120E-06,1.1E-08,1.6E-07
57,30,8.6,31.42,6,17,2.737,3.97,3.373E-03,3.039E-06,1.1E-08,1.3E-07
57,30,8.6,31.42,6,18,1.988,7.34,4.297E-03,2.207E-06,1.1E-08,1.7E-07
57,30,8.6,31.42,6,19,1.404,8.97,5.475E-03,1.559E-06,1.1E-08,1.5E-07
57,30,8.6,31.42,6,20,0.966,15.94,6.978E-03,1.072E-06,1.1E-08,1.8E-07
57,7.5,9.0,31.42,6,1,336.567,0.12,3.525E-04,3.571E-04,1.1E-08,4.4E-07
57,7.5,9.0,31.42,6,2,155.267,0.10,4.275E-04,1.647E-04,1.1E-08,1.7E-07
57,7.5,9.0,31.42,6,3,69.140,0.34,5.250E-04,7.335E-05,1.1E-08,2.6E-07
57,7.5,9.0,31.42,6,4,34.277,0.52,6.475E-04,3.636E-05,1.1E-08,2.0E-07
57,7.5,9.0,31.42,6,5,20.663,0.38,8.025E-04,2.192E-05,1.1E-08,9.3E-08
57,7.5,9.0,31.42,6,6,14.503,0.81,1.003E-03,1.539E-05,1.1E-08,1.3E-07
57,7.5,9.0,31.42,6,7,11.060,0.41,1.258E-03,1.173E-05,1.1E-08,5.9E-08
57,7.5,9.0,31.42,6,8,8.618,1.63,1.583E-03,9.143E-06,1.1E-08,1.6E-07
57,7.5,9.0,31.42,6,9,6.861,2.62,1.998E-03,7.279E-06,1.1E-08,2.0E-07
57,7.5,9.0,31.42,6,10,5.436,2.40,2.525E-03,5.767E-06,1.1E-08,1.5E-07
57,7.5,9.0,31.42,6,11,4.282,1.69,3.198E-03,4.543E-06,1.1E-08,8.7E-08
57,7.5,9.0,31.42,6,12,3.432,4.98,4.055E-03,3.641E-06,1.1E-08,1.9E-07
57,7.5,9.0,31.42,6,13,2.707,4.90,5.148E-03,2.872E-06,1.1E-08,1.5E-07
57,7.5,9.0,31.42,6,14,2.148,6.50,6.543E-03,2.278E-06,1.1E-08,1.6E-07
57,7.5,9.0,31.42,6,15,1.696,8.01,8.323E-03,1.800E-06,1.1E-08,1.5E-07
57,7.5,9.0,31.42,6,16,1.287,9.11,1.059E-02,1.365E-06,1.1E-08,1.3E-07
57,7.5,9.0,31.42,6,17,0.988,12.06,1.349E-02,1.048E-06,1.1E-08,1.4E-07
57,7.5,9.0,31.42,6,18,0.741,11.77,1.719E-02,7.861E-07,1.1E-08,1.0E-07
57,7.5,9.0,31.42,6,19,0.557,22.40,2.190E-02,5.912E-07,1.1E-08,1.4E-07
57,7.5,9.0,31.42,6,20,0.391,26.06,2.792E-02,4.148E-07,1.1E-08,1.2E-07
57,3,9.0,31.42,6,1,18.320,0.95,8.813E-04,1.944E-05,1.1E-08,1.9E-07
