TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,3,1,3205.000,0.03,6.813E-06,8.160E-02,2.5E-07,2.6E-05
47,285,3.0,31.42,3,2,3065.000,0.03,8.688E-06,7.804E-02,2.5E-07,2.6E-05
47,285,3.0,31.42,3,3,3002.000,0.03,1.113E-05,7.644E-02,2.5E-07,2.6E-05
47,285,3.0,31.42,3,4,3063.000,0.03,1.419E-05,7.799E-02,2.5E-07,2.6E-05
47,285,3.0,31.42,3,5,3204.333,0.05,1.807E-05,8.159E-02,2.5E-07,3.9E-05
47,285,3.0,31.42,3,6,3412.000,0.03,2.306E-05,8.687E-02,2.5E-07,2.6E-05
47,285,3.0,31.42,3,7,3588.333,0.04,2.944E-05,9.136E-02,2.5E-07,3.9E-05
47,285,3.0,31.42,3,8,3650.667,0.04,3.756E-05,9.295E-02,2.5E-07,3.9E-05
47,285,3.0,31.42,3,9,3483.000,0.03,4.794E-05,8.868E-02,2.5E-07,2.6E-05
47,285,3.0,31.42,3,10,3062.000,0.03,6.113E-05,7.796E-02,2.5E-07,2.6E-05
47,285,3.0,31.42,3,11,2432.333,0.02,7.794E-05,6.193E-02,2.5E-07,1.5E-05
47,285,3.0,31.42,3,12,1731.667,0.03,9.938E-05,4.409E-02,2.5E-07,1.5E-05
47,285,3.0,31.42,3,13,1094.667,0.05,1.267E-04,2.787E-02,2.5E-07,1.5E-05
47,285,3.0,31.42,3,14,563.200,0.04,1.664E-04,1.434E-02,2.5E-07,5.4E-06
47,285,3.0,31.42,3,15,303.867,0.04,2.060E-04,7.737E-03,2.5E-07,3.2E-06
47,285,3.0,31.42,3,16,131.533,0.04,2.628E-04,3.349E-03,2.5E-07,1.7E-06
47,285,3.0,31.42,3,17,49.210,0.04,3.352E-04,1.253E-03,2.5E-07,8.0E-07
47,285,3.0,31.42,3,18,15.893,0.17,4.277E-04,4.047E-04,2.5E-07,9.4E-07
47,285,3.0,31.42,3,19,4.579,0.22,5.456E-04,1.166E-04,2.5E-07,5.1E-07
47,285,3.0,31.42,3,20,1.302,0.51,6.959E-04,3.315E-05,2.5E-07,4.2E-07
47,75,3.0,31.42,5,1,12366.667,0.93,3.525E-05,7.872E-02,6.4E-08,7.4E-04
47,75,3.0,31.42,5,2,12303.333,1.03,4.275E-05,7.832E-02,6.4E-08,8.1E-04
47,75,3.0,31.42,5,3,11953.333,1.79,5.250E-05,7.609E-02,6.4E-08,1.4E-03
47,75,3.0,31.42,5,4,10970.000,2.84,6.475E-05,6.983E-02,6.4E-08,2.0E-03
47,75,3.0,31.42,5,5,8939.000,4.12,8.025E-05,5.690E-02,6.4E-08,2.3E-03
47,75,3.0,31.42,5,6,6496.000,4.17,1.003E-04,4.135E-02,6.4E-08,1.7E-03
47,75,3.0,31.42,5,7,4234.000,4.17,1.258E-04,2.695E-02,6.4E-08,1.1E-03
47,75,3.0,31.42,5,8,2471.000,4.17,1.583E-04,1.573E-02,6.4E-08,6.6E-04
47,75,3.0,31.42,5,9,1277.000,4.20,1.998E-04,8.129E-03,6.4E-08,3.4E-04
47,75,3.0,31.42,5,10,582.100,4.21,2.525E-04,3.705E-03,6.4E-08,1.6E-04
47,75,3.0,31.42,5,11,231.233,4.18,3.198E-04,1.472E-03,6.4E-08,6.2E-05
47,75,3.0,31.42,5,12,79.747,4.20,4.055E-04,5.076E-04,6.4E-08,2.1E-05
47,75,3.0,31.42,5,13,24.540,4.23,5.148E-04,1.562E-04,6.4E-08,6.7E-06
47,75,3.0,31.42,5,14,7.314,5.07,6.543E-04,4.656E-05,6.4E-08,2.4E-06
47,75,3.0,31.42,5,15,2.377,3.37,8.323E-04,1.513E-05,6.4E-08,5.7E-07
47,75,3.0,31.42,5,16,0.890,2.93,1.059E-03,5.665E-06,6.4E-08,2.3E-07
47,75,3.0,31.42,5,17,0.372,16.00,1.349E-03,2.365E-06,6.4E-08,4.4E-07
47,75,3.0,31.42,5,18,0.192,29.72,1.719E-03,1.223E-06,6.4E-08,4.3E-07
47,75,3.0,31.42,5,19,0.123,57.70,2.190E-03,7.846E-07,6.4E-08,5.2E-07
47,75,3.0,31.42,5,20,0.058,109.75,2.792E-03,3.662E-07,6.4E-08,4.7E-07
47,30,3.0,31.42,5,1,7821.000,0.16,8.813E-05,4.978E-02,6.4E-08,7.8E-05
47,30,3.0,31.42,5,2,5740.667,0.16,1.069E-04,3.654E-02,6.4E-08,5.8E-05
47,30,3.0,31.42,5,3,3814.000,0.16,1.313E-04,2.428E-02,6.4E-08,3.9E-05
47,30,3.0,31.42,5,4,2294.000,0.15,1.619E-04,1.460E-02,6.4E-08,2.2E-05
47,30,3.0,31.42,5,5,1240.667,0.17,2.006E-04,7.897E-03,6.4E-08,1.3E-05
47,30,3.0,31.42,5,6,588.900,0.17,2.506E-04,3.749E-03,6.4E-08,6.3E-06
47,30,3.0,31.42,5,7,244.233,0.17,3.144E-04,1.555E-03,6.4E-08,2.7E-06
47,30,3.0,31.42,5,8,88.117,0.21,3.956E-04,5.609E-04,6.4E-08,1.3E-06
47,30,3.0,31.42,5,9,28.117,0.20,4.994E-04,1.790E-04,6.4E-08,4.2E-07
47,30,3.0,31.42,5,10,8.549,0.56,6.313E-04,5.442E-05,6.4E-08,3.7E-07
47,30,3.0,31.42,5,11,2.801,1.11,7.994E-04,1.783E-05,6.4E-08,2.6E-07
47,30,3.0,31.42,5,12,1.034,5.37,1.014E-03,6.584E-06,6.4E-08,4.2E-07
47,30,3.0,31.42,5,13,0.398,9.65,1.287E-03,2.531E-06,6.4E-08,3.1E-07
47,30,3.0,31.42,5,14,0.207,41.35,1.636E-03,1.320E-06,6.4E-08,6.1E-07
47,30,3.0,31.42,5,15,0.073,23.78,2.081E-03,4.635E-07,6.4E-08,1.7E-07
47,30,3.0,31.42,5,16,0.061,49.22,2.648E-03,3.876E-07,6.4E-08,2.5E-07
47,30,3.0,31.42,5,17,0.035,151.50,3.373E-03,2.244E-07,6.4E-08,4.0E-07
47,30,3.0,31.42,5,18,0.032,156.03,4.297E-03,2.048E-07,6.4E-08,3.8E-07
47,30,3.0,31.42,5,19,0.044,40.90,5.475E-03,2.783E-07,6.4E-08,1.8E-07
47,30,3.0,31.42,5,20,0.043,84.22,6.978E-03,2.744E-07,6.4E-08,2.9E-07
57,30,8.9,31.42,5,1,12720.000,0.00,8.813E-05,2.729E-02,2.1E-08,4.9E-08
57,30,8.9,31.42,5,2,10946.667,0.05,1.069E-04,2.349E-02,2.1E-08,1.2E-05
57,30,8.9,31.42,5,3,7476.333,0.03,1.313E-04,1.604E-02,2.1E-08,5.4E-06
57,30,8.9,31.42,5,4,4567.333,0.03,1.619E-04,9.800E-03,2.1E-08,3.3E-06
57,30,8.9,31.42,5,5,2527.000,0.04,2.006E-04,5.422E-03,2.1E-08,2.2E-06
57,30,8.9,31.42,5,6,1231.333,0.05,2.506E-04,2.642E-03,2.1E-08,1.3E-06
57,30,8.9,31.42,5,7,526.867,0.04,3.144E-04,1.130E-03,2.1E-08,4.7E-07
57,30,8.9,31.42,5,8,197.633,0.03,3.956E-04,4.240E-04,2.1E-08,1.5E-07
57,30,8.9,31.42,5,9,66.270,0.08,4.994E-04,1.422E-04,2.1E-08,1.4E-07
57,30,8.9,31.42,5,10,21.543,0.10,6.313E-04,4.622E-05,2.1E-08,6.6E-08
57,30,8.9,31.42,5,11,7.464,0.17,7.994E-04,1.601E-05,2.1E-08,4.9E-08
57,30,8.9,31.42,5,12,2.812,1.18,1.014E-03,6.034E-06,2.1E-08,9.2E-08
57,30,8.9,31.42,5,13,1.118,3.18,1.287E-03,2.399E-06,2.1E-08,9.8E-08
57,30,8.9,31.42,5,14,0.431,2.71,1.636E-03,9.255E-07,2.1E-08,4.7E-08
57,30,8.9,31.42,5,15,0.180,17.90,2.081E-03,3.851E-07,2.1E-08,9.0E-08
57,30,8.9,31.42,5,16,0.035,53.36,2.648E-03,7.478E-08,2.1E-08,6.1E-08
57,30,8.9,31.42,5,17,-0.009,334.83,3.373E-03,-1.850E-08,2.1E-08,8.3E-08
57,30,8.9,31.42,5,18,-0.033,46.43,4.297E-03,-7.018E-08,2.1E-08,5.4E-08
57,30,8.9,31.42,5,19,-0.031,49.35,5.475E-03,-6.583E-08,2.1E-08,5.4E-08
57,30,8.9,31.42,5,20,-0.041,21.74,6.978E-03,-8.828E-08,2.1E-08,4.1E-08
