TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,10040.000,0.02,6.813E-06,5.113E-01,5.1E-07,7.8E-05
47,285,3.0,31.42,2,2,9281.667,0.03,8.688E-06,4.727E-01,5.1E-07,1.5E-04
47,285,3.0,31.42,2,3,7799.000,0.02,1.113E-05,3.971E-01,5.1E-07,8.9E-05
47,285,3.0,31.42,2,4,5903.333,0.03,1.419E-05,3.006E-01,5.1E-07,7.9E-05
47,285,3.0,31.42,2,5,3882.000,0.03,1.807E-05,1.977E-01,5.1E-07,5.2E-05
47,285,3.0,31.42,2,6,2184.333,0.03,2.306E-05,1.112E-01,5.1E-07,3.0E-05
47,285,3.0,31.42,2,7,1056.333,0.05,2.944E-05,5.379E-02,5.1E-07,3.0E-05
47,285,3.0,31.42,2,8,468.733,0.03,3.756E-05,2.387E-02,5.1E-07,8.3E-06
47,285,3.0,31.42,2,9,210.267,0.03,4.794E-05,1.071E-02,5.1E-07,3.5E-06
47,285,3.0,31.42,2,10,105.767,0.08,6.113E-05,5.386E-03,5.1E-07,4.9E-06
47,285,3.0,31.42,2,11,59.090,0.52,7.794E-05,3.009E-03,5.1E-07,1.6E-05
47,285,3.0,31.42,2,12,34.387,0.17,9.938E-05,1.751E-03,5.1E-07,3.5E-06
47,285,3.0,31.42,2,13,20.163,0.21,1.267E-04,1.027E-03,5.1E-07,2.6E-06
47,285,3.0,31.42,2,14,10.073,0.75,1.664E-04,5.130E-04,5.1E-07,4.3E-06
47,285,3.0,31.42,2,15,6.162,1.95,2.060E-04,3.138E-04,5.1E-07,6.6E-06
47,285,3.0,31.42,2,16,2.824,1.66,2.628E-04,1.438E-04,5.1E-07,2.9E-06
47,285,3.0,31.42,2,17,1.452,3.33,3.352E-04,7.392E-05,5.1E-07,3.0E-06
47,285,3.0,31.42,2,18,0.752,3.22,4.277E-04,3.828E-05,5.1E-07,1.7E-06
47,285,3.0,31.42,2,19,0.370,6.59,5.456E-04,1.885E-05,5.1E-07,1.8E-06
47,285,3.0,31.42,2,20,0.163,8.62,6.959E-04,8.275E-06,5.1E-07,1.2E-06
47,75,3.0,31.42,5,1,4108.333,0.60,3.525E-05,2.615E-02,6.4E-08,1.6E-04
47,75,3.0,31.42,5,2,2167.000,0.65,4.275E-05,1.379E-02,6.4E-08,9.0E-05
47,75,3.0,31.42,5,3,1156.000,0.62,5.250E-05,7.358E-03,6.4E-08,4.6E-05
47,75,3.0,31.42,5,4,667.267,0.48,6.475E-05,4.247E-03,6.4E-08,2.0E-05
47,75,3.0,31.42,5,5,406.367,0.38,8.025E-05,2.587E-03,6.4E-08,9.8E-06
47,75,3.0,31.42,5,6,247.233,1.19,1.003E-04,1.574E-03,6.4E-08,1.9E-05
47,75,3.0,31.42,5,7,149.033,0.43,1.258E-04,9.487E-04,6.4E-08,4.2E-06
47,75,3.0,31.42,5,8,87.090,1.06,1.583E-04,5.544E-04,6.4E-08,6.0E-06
47,75,3.0,31.42,5,9,50.597,1.94,1.998E-04,3.221E-04,6.4E-08,6.3E-06
47,75,3.0,31.42,5,10,25.970,4.59,2.525E-04,1.653E-04,6.4E-08,7.6E-06
47,75,3.0,31.42,5,11,12.413,11.65,3.198E-04,7.902E-05,6.4E-08,9.3E-06
47,75,3.0,31.42,5,12,6.179,12.85,4.055E-04,3.933E-05,6.4E-08,5.1E-06
47,75,3.0,31.42,5,13,2.984,31.59,5.148E-04,1.900E-05,6.4E-08,6.1E-06
47,75,3.0,31.42,5,14,1.874,12.52,6.543E-04,1.193E-05,6.4E-08,1.6E-06
47,75,3.0,31.42,5,15,0.638,112.77,8.323E-04,4.060E-06,6.4E-08,4.6E-06
47,75,3.0,31.42,5,16,-0.047,687.49,1.059E-03,-2.964E-07,6.4E-08,2.1E-06
47,75,3.0,31.42,5,17,0.243,11.21,1.349E-03,1.547E-06,6.4E-08,2.4E-07
47,75,3.0,31.42,5,18,0.202,76.98,1.719E-03,1.283E-06,6.4E-08,1.1E-06
47,75,3.0,31.42,5,19,0.038,451.22,2.190E-03,2.429E-07,6.4E-08,1.2E-06
47,75,3.0,31.42,5,20,0.163,76.07,2.792E-03,1.039E-06,6.4E-08,8.5E-07
47,30,3.0,31.42,5,1,333.767,0.55,8.813E-05,2.125E-03,6.4E-08,1.2E-05
47,30,3.0,31.42,5,2,220.467,0.47,1.069E-04,1.403E-03,6.4E-08,6.6E-06
47,30,3.0,31.42,5,3,136.833,0.49,1.313E-04,8.710E-04,6.4E-08,4.3E-06
47,30,3.0,31.42,5,4,82.867,0.66,1.619E-04,5.275E-04,6.4E-08,3.6E-06
