TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,3761.667,0.16,6.813E-06,1.916E-01,5.1E-07,3.1E-04
47,285,3.0,31.42,2,2,2286.333,0.15,8.688E-06,1.164E-01,5.1E-07,1.8E-04
47,285,3.0,31.42,2,3,1412.000,0.14,1.113E-05,7.190E-02,5.1E-07,1.0E-04
47,285,3.0,31.42,2,4,883.200,0.09,1.419E-05,4.498E-02,5.1E-07,3.9E-05
47,285,3.0,31.42,2,5,534.067,0.09,1.807E-05,2.720E-02,5.1E-07,2.6E-05
47,285,3.0,31.42,2,6,306.767,0.07,2.306E-05,1.562E-02,5.1E-07,1.1E-05
47,285,3.0,31.42,2,7,168.233,0.09,2.944E-05,8.567E-03,5.1E-07,8.3E-06
47,285,3.0,31.42,2,8,92.090,0.06,3.756E-05,4.689E-03,5.1E-07,3.3E-06
47,285,3.0,31.42,2,9,51.787,0.11,4.794E-05,2.637E-03,5.1E-07,3.5E-06
47,285,3.0,31.42,2,10,30.813,0.09,6.113E-05,1.569E-03,5.1E-07,2.0E-06
47,285,3.0,31.42,2,11,18.957,0.11,7.794E-05,9.653E-04,5.1E-07,1.6E-06
47,285,3.0,31.42,2,12,11.970,0.29,9.938E-05,6.095E-04,5.1E-07,2.3E-06
47,285,3.0,31.42,2,13,7.352,0.20,1.267E-04,3.744E-04,5.1E-07,1.2E-06
47,285,3.0,31.42,2,14,3.973,0.32,1.664E-04,2.023E-04,5.1E-07,1.1E-06
47,285,3.0,31.42,2,15,2.381,0.32,2.060E-04,1.212E-04,5.1E-07,8.9E-07
47,285,3.0,31.42,2,16,1.300,1.19,2.628E-04,6.618E-05,5.1E-07,1.3E-06
47,285,3.0,31.42,2,17,0.665,1.22,3.352E-04,3.385E-05,5.1E-07,9.2E-07
47,285,3.0,31.42,2,18,0.339,0.81,4.277E-04,1.725E-05,5.1E-07,6.5E-07
47,285,3.0,31.42,2,19,0.184,1.10,5.456E-04,9.360E-06,5.1E-07,6.1E-07
47,285,3.0,31.42,2,20,0.093,2.67,6.959E-04,4.743E-06,5.1E-07,6.4E-07
47,75,3.0,31.42,5,1,781.800,0.18,3.525E-05,4.976E-03,6.4E-08,9.0E-06
47,75,3.0,31.42,5,2,494.733,0.12,4.275E-05,3.149E-03,6.4E-08,4.0E-06
47,75,3.0,31.42,5,3,313.333,0.15,5.250E-05,1.994E-03,6.4E-08,3.1E-06
47,75,3.0,31.42,5,4,204.700,0.21,6.475E-05,1.303E-03,6.4E-08,2.8E-06
47,75,3.0,31.42,5,5,136.200,0.22,8.025E-05,8.670E-04,6.4E-08,2.0E-06
47,75,3.0,31.42,5,6,89.850,0.29,1.003E-04,5.719E-04,6.4E-08,1.7E-06
47,75,3.0,31.42,5,7,57.147,0.36,1.258E-04,3.638E-04,6.4E-08,1.4E-06
47,75,3.0,31.42,5,8,34.640,0.20,1.583E-04,2.205E-04,6.4E-08,5.1E-07
47,75,3.0,31.42,5,9,20.013,0.35,1.998E-04,1.274E-04,6.4E-08,5.2E-07
47,75,3.0,31.42,5,10,11.060,1.25,2.525E-04,7.040E-05,6.4E-08,9.5E-07
47,75,3.0,31.42,5,11,6.012,0.95,3.198E-04,3.827E-05,6.4E-08,4.3E-07
47,75,3.0,31.42,5,12,3.184,1.87,4.055E-04,2.027E-05,6.4E-08,4.4E-07
47,75,3.0,31.42,5,13,1.812,2.59,5.148E-04,1.153E-05,6.4E-08,3.6E-07
47,75,3.0,31.42,5,14,1.006,3.94,6.543E-04,6.402E-06,6.4E-08,3.2E-07
47,75,3.0,31.42,5,15,0.531,5.62,8.323E-04,3.382E-06,6.4E-08,2.5E-07
47,75,3.0,31.42,5,16,0.246,16.06,1.059E-03,1.568E-06,6.4E-08,3.2E-07
47,75,3.0,31.42,5,17,0.109,57.23,1.349E-03,6.961E-07,6.4E-08,4.6E-07
47,75,3.0,31.42,5,18,0.048,139.05,1.719E-03,3.078E-07,6.4E-08,4.9E-07
47,75,3.0,31.42,5,19,0.035,89.12,2.190E-03,2.234E-07,6.4E-08,2.6E-07
47,75,3.0,31.42,5,20,0.013,237.79,2.792E-03,7.991E-08,6.4E-08,2.5E-07
47,30,3.0,31.42,5,1,117.233,0.50,8.813E-05,7.462E-04,6.4E-08,3.8E-06
47,30,3.0,31.42,5,2,80.900,0.38,1.069E-04,5.150E-04,6.4E-08,2.0E-06
47,30,3.0,31.42,5,3,53.420,0.18,1.313E-04,3.400E-04,6.4E-08,6.7E-07
47,30,3.0,31.42,5,4,33.640,0.80,1.619E-04,2.141E-04,6.4E-08,1.8E-06
47,30,3.0,31.42,5,5,20.130,0.55,2.006E-04,1.281E-04,6.4E-08,7.7E-07
47,30,3.0,31.42,5,6,11.520,0.40,2.506E-04,7.333E-05,6.4E-08,3.6E-07
47,30,3.0,31.42,5,7,6.347,0.82,3.144E-04,4.040E-05,6.4E-08,3.9E-07
47,30,3.0,31.42,5,8,3.521,2.80,3.956E-04,2.241E-05,6.4E-08,6.9E-07
47,30,3.0,31.42,5,9,2.007,5.81,4.994E-04,1.277E-05,6.4E-08,8.1E-07
47,30,3.0,31.42,5,10,1.185,2.79,6.313E-04,7.543E-06,6.4E-08,2.7E-07
47,30,3.0,31.42,5,11,0.614,5.55,7.994E-04,3.910E-06,6.4E-08,2.8E-07
47,30,3.0,31.42,5,12,0.348,38.40,1.014E-03,2.215E-06,6.4E-08,9.1E-07
47,30,3.0,31.42,5,13,0.165,14.28,1.287E-03,1.048E-06,6.4E-08,2.1E-07
47,30,3.0,31.42,5,14,0.092,48.93,1.636E-03,5.846E-07,6.4E-08,3.5E-07
47,30,3.0,31.42,5,15,0.037,97.35,2.081E-03,2.362E-07,6.4E-08,2.9E-07
47,30,3.0,31.42,5,16,0.022,169.19,2.648E-03,1.390E-07,6.4E-08,3.0E-07
47,30,3.0,31.42,5,17,0.018,157.80,3.373E-03,1.118E-07,6.4E-08,2.4E-07
47,30,3.0,31.42,5,18,0.028,97.12,4.297E-03,1.763E-07,6.4E-08,2.3E-07
47,30,3.0,31.42,5,19,0.024,104.81,5.475E-03,1.506E-07,6.4E-08,2.2E-07
47,30,3.0,31.42,5,20,-0.001,1412.00,6.978E-03,-6.365E-09,6.4E-08,1.5E-07
