TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,11540.000,0.00,6.813E-06,5.877E-01,5.1E-07,7.3E-06
47,285,3.0,31.42,2,2,10336.667,0.06,8.688E-06,5.264E-01,5.1E-07,3.0E-04
47,285,3.0,31.42,2,3,7914.000,0.39,1.113E-05,4.030E-01,5.1E-07,1.6E-03
47,285,3.0,31.42,2,4,3202.667,0.11,1.419E-05,1.631E-01,5.1E-07,1.8E-04
47,285,3.0,31.42,2,5,1858.667,0.06,1.807E-05,9.465E-02,5.1E-07,5.9E-05
47,285,3.0,31.42,2,6,1029.667,0.06,2.306E-05,5.243E-02,5.1E-07,3.0E-05
47,285,3.0,31.42,2,7,543.700,0.06,2.944E-05,2.769E-02,5.1E-07,1.6E-05
47,285,3.0,31.42,2,8,280.167,0.09,3.756E-05,1.427E-02,5.1E-07,1.3E-05
47,285,3.0,31.42,2,9,143.533,0.11,4.794E-05,7.309E-03,5.1E-07,8.3E-06
47,285,3.0,31.42,2,10,75.430,0.04,6.113E-05,3.841E-03,5.1E-07,2.0E-06
47,285,3.0,31.42,2,11,40.737,0.09,7.794E-05,2.074E-03,5.1E-07,2.3E-06
47,285,3.0,31.42,2,12,22.440,0.04,9.938E-05,1.143E-03,5.1E-07,1.0E-06
47,285,3.0,31.42,2,13,12.617,0.12,1.267E-04,6.425E-04,5.1E-07,1.3E-06
47,285,3.0,31.42,2,14,6.697,0.22,1.664E-04,3.410E-04,5.1E-07,1.3E-06
47,285,3.0,31.42,2,15,4.203,0.18,2.060E-04,2.140E-04,5.1E-07,8.9E-07
47,285,3.0,31.42,2,16,2.419,0.49,2.628E-04,1.232E-04,5.1E-07,1.1E-06
47,285,3.0,31.42,2,17,1.492,0.85,3.352E-04,7.599E-05,5.1E-07,1.2E-06
47,285,3.0,31.42,2,18,0.942,0.74,4.277E-04,4.795E-05,5.1E-07,8.7E-07
47,285,3.0,31.42,2,19,0.636,0.84,5.456E-04,3.237E-05,5.1E-07,7.8E-07
47,285,3.0,31.42,2,20,0.449,1.89,6.959E-04,2.288E-05,5.1E-07,9.4E-07
47,75,3.0,31.42,5,1,2392.667,0.17,3.525E-05,1.523E-02,6.4E-08,2.6E-05
47,75,3.0,31.42,5,2,1417.000,0.14,4.275E-05,9.020E-03,6.4E-08,1.3E-05
47,75,3.0,31.42,5,3,816.067,0.17,5.250E-05,5.195E-03,6.4E-08,9.0E-06
47,75,3.0,31.42,5,4,472.567,0.18,6.475E-05,3.008E-03,6.4E-08,5.5E-06
47,75,3.0,31.42,5,5,275.967,0.20,8.025E-05,1.757E-03,6.4E-08,3.6E-06
47,75,3.0,31.42,5,6,162.100,0.12,1.003E-04,1.032E-03,6.4E-08,1.3E-06
47,75,3.0,31.42,5,7,96.997,0.22,1.258E-04,6.174E-04,6.4E-08,1.4E-06
47,75,3.0,31.42,5,8,59.910,0.23,1.583E-04,3.813E-04,6.4E-08,9.5E-07
47,75,3.0,31.42,5,9,38.483,0.15,1.998E-04,2.450E-04,6.4E-08,4.3E-07
47,75,3.0,31.42,5,10,25.860,0.40,2.525E-04,1.646E-04,6.4E-08,7.3E-07
47,75,3.0,31.42,5,11,18.307,0.43,3.198E-04,1.165E-04,6.4E-08,5.6E-07
47,75,3.0,31.42,5,12,13.670,0.60,4.055E-04,8.701E-05,6.4E-08,5.8E-07
47,75,3.0,31.42,5,13,10.547,0.47,5.148E-04,6.713E-05,6.4E-08,3.8E-07
47,75,3.0,31.42,5,14,8.458,0.67,6.543E-04,5.384E-05,6.4E-08,4.2E-07
47,75,3.0,31.42,5,15,6.874,0.51,8.323E-04,4.376E-05,6.4E-08,2.9E-07
47,75,3.0,31.42,5,16,5.580,0.90,1.059E-03,3.552E-05,6.4E-08,3.8E-07
