TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,3,1,4561.667,0.32,6.813E-06,1.161E-01,2.5E-07,3.8E-04
47,285,3.0,31.42,3,2,3828.667,0.27,8.688E-06,9.748E-02,2.5E-07,2.6E-04
47,285,3.0,31.42,3,3,3404.000,0.26,1.113E-05,8.667E-02,2.5E-07,2.2E-04
47,285,3.0,31.42,3,4,3105.000,0.25,1.419E-05,7.906E-02,2.5E-07,2.0E-04
47,285,3.0,31.42,3,5,2808.667,0.24,1.807E-05,7.151E-02,2.5E-07,1.7E-04
47,285,3.0,31.42,3,6,2522.667,0.23,2.306E-05,6.423E-02,2.5E-07,1.5E-04
47,285,3.0,31.42,3,7,2219.333,0.25,2.944E-05,5.651E-02,2.5E-07,1.4E-04
47,285,3.0,31.42,3,8,1912.000,0.23,3.756E-05,4.868E-02,2.5E-07,1.1E-04
47,285,3.0,31.42,3,9,1589.667,0.25,4.794E-05,4.048E-02,2.5E-07,1.0E-04
47,285,3.0,31.42,3,10,1271.667,0.25,6.113E-05,3.238E-02,2.5E-07,8.2E-05
47,285,3.0,31.42,3,11,968.100,0.24,7.794E-05,2.465E-02,2.5E-07,6.0E-05
47,285,3.0,31.42,3,12,697.667,0.25,9.938E-05,1.776E-02,2.5E-07,4.4E-05
47,285,3.0,31.42,3,13,471.633,0.25,1.267E-04,1.201E-02,2.5E-07,3.0E-05
47,285,3.0,31.42,3,14,278.400,0.25,1.664E-04,7.088E-03,2.5E-07,1.8E-05
47,285,3.0,31.42,3,15,174.667,0.23,2.060E-04,4.447E-03,2.5E-07,1.1E-05
47,285,3.0,31.42,3,16,95.330,0.26,2.628E-04,2.427E-03,2.5E-07,6.5E-06
47,285,3.0,31.42,3,17,48.147,0.21,3.352E-04,1.226E-03,2.5E-07,2.8E-06
47,285,3.0,31.42,3,18,22.513,0.21,4.277E-04,5.732E-04,2.5E-07,1.4E-06
47,285,3.0,31.42,3,19,9.714,0.29,5.456E-04,2.473E-04,2.5E-07,9.6E-07
47,285,3.0,31.42,3,20,3.881,0.64,6.959E-04,9.882E-05,2.5E-07,8.9E-07
47,75,3.0,31.42,5,1,7453.000,0.10,3.525E-05,4.744E-02,6.4E-08,4.8E-05
47,75,3.0,31.42,5,2,6527.333,0.09,4.275E-05,4.155E-02,6.4E-08,3.9E-05
47,75,3.0,31.42,5,3,5512.333,0.09,5.250E-05,3.509E-02,6.4E-08,3.3E-05
47,75,3.0,31.42,5,4,4497.667,0.09,6.475E-05,2.863E-02,6.4E-08,2.6E-05
47,75,3.0,31.42,5,5,3512.667,0.09,8.025E-05,2.236E-02,6.4E-08,2.0E-05
47,75,3.0,31.42,5,6,2595.667,0.08,1.003E-04,1.652E-02,6.4E-08,1.3E-05
47,75,3.0,31.42,5,7,1806.333,0.08,1.258E-04,1.150E-02,6.4E-08,9.8E-06
47,75,3.0,31.42,5,8,1177.333,0.13,1.583E-04,7.494E-03,6.4E-08,9.8E-06
47,75,3.0,31.42,5,9,716.467,0.10,1.998E-04,4.561E-03,6.4E-08,4.5E-06
47,75,3.0,31.42,5,10,406.333,0.11,2.525E-04,2.586E-03,6.4E-08,2.9E-06
47,75,3.0,31.42,5,11,214.300,0.08,3.198E-04,1.364E-03,6.4E-08,1.2E-06
47,75,3.0,31.42,5,12,105.000,0.10,4.055E-04,6.684E-04,6.4E-08,7.0E-07
47,75,3.0,31.42,5,13,47.767,0.21,5.148E-04,3.041E-04,6.4E-08,7.1E-07
47,75,3.0,31.42,5,14,20.110,0.60,6.543E-04,1.280E-04,6.4E-08,8.4E-07
47,75,3.0,31.42,5,15,7.848,1.19,8.323E-04,4.996E-05,6.4E-08,6.6E-07
47,75,3.0,31.42,5,16,2.792,1.34,1.059E-03,1.777E-05,6.4E-08,3.0E-07
47,75,3.0,31.42,5,17,0.910,6.26,1.349E-03,5.790E-06,6.4E-08,4.3E-07
47,75,3.0,31.42,5,18,0.234,24.12,1.719E-03,1.492E-06,6.4E-08,4.2E-07
47,75,3.0,31.42,5,19,0.003,2034.16,2.190E-03,1.721E-08,6.4E-08,4.1E-07
47,75,3.0,31.42,5,20,-0.051,141.66,2.792E-03,-3.261E-07,6.4E-08,5.3E-07
47,30,3.0,31.42,5,1,3142.333,0.33,8.813E-05,2.000E-02,6.4E-08,6.7E-05
47,30,3.0,31.42,5,2,2379.000,0.34,1.069E-04,1.514E-02,6.4E-08,5.1E-05
47,30,3.0,31.42,5,3,1691.667,0.33,1.313E-04,1.077E-02,6.4E-08,3.5E-05
47,30,3.0,31.42,5,4,1134.000,0.35,1.619E-04,7.218E-03,6.4E-08,2.6E-05
47,30,3.0,31.42,5,5,715.167,0.33,2.006E-04,4.552E-03,6.4E-08,1.5E-05
47,30,3.0,31.42,5,6,417.400,0.35,2.506E-04,2.657E-03,6.4E-08,9.3E-06
47,30,3.0,31.42,5,7,226.600,0.35,3.144E-04,1.442E-03,6.4E-08,5.2E-06
47,30,3.0,31.42,5,8,114.233,0.39,3.956E-04,7.271E-04,6.4E-08,2.9E-06
