TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,3,1,4923.333,0.05,6.813E-06,1.254E-01,2.5E-07,6.4E-05
47,285,3.0,31.42,3,2,5192.333,0.05,8.688E-06,1.322E-01,2.5E-07,6.4E-05
47,285,3.0,31.42,3,3,5490.667,0.05,1.113E-05,1.398E-01,2.5E-07,6.4E-05
47,285,3.0,31.42,3,4,5806.333,0.04,1.419E-05,1.478E-01,2.5E-07,6.4E-05
47,285,3.0,31.42,3,5,5948.333,0.04,1.807E-05,1.515E-01,2.5E-07,6.4E-05
47,285,3.0,31.42,3,6,5849.333,0.04,2.306E-05,1.489E-01,2.5E-07,6.4E-05
47,285,3.0,31.42,3,7,5376.667,0.04,2.944E-05,1.369E-01,2.5E-07,5.3E-05
47,285,3.0,31.42,3,8,4580.000,0.04,3.756E-05,1.166E-01,2.5E-07,5.1E-05
47,285,3.0,31.42,3,9,3567.333,0.04,4.794E-05,9.083E-02,2.5E-07,3.9E-05
47,285,3.0,31.42,3,10,2545.667,0.05,6.113E-05,6.482E-02,2.5E-07,3.0E-05
47,285,3.0,31.42,3,11,1667.000,0.06,7.794E-05,4.244E-02,2.5E-07,2.6E-05
47,285,3.0,31.42,3,12,1012.667,0.06,9.938E-05,2.578E-02,2.5E-07,1.5E-05
47,285,3.0,31.42,3,13,575.300,0.05,1.267E-04,1.465E-02,2.5E-07,7.0E-06
47,285,3.0,31.42,3,14,281.100,0.04,1.664E-04,7.157E-03,2.5E-07,2.8E-06
47,285,3.0,31.42,3,15,154.467,0.04,2.060E-04,3.933E-03,2.5E-07,1.7E-06
47,285,3.0,31.42,3,16,72.230,0.04,2.628E-04,1.839E-03,2.5E-07,1.0E-06
47,285,3.0,31.42,3,17,30.870,0.06,3.352E-04,7.860E-04,2.5E-07,7.0E-07
47,285,3.0,31.42,3,18,11.780,0.08,4.277E-04,2.999E-04,2.5E-07,5.1E-07
47,285,3.0,31.42,3,19,3.893,0.31,5.456E-04,9.911E-05,2.5E-07,5.6E-07
47,285,3.0,31.42,3,20,1.078,0.37,6.959E-04,2.746E-05,2.5E-07,3.6E-07
47,75,3.0,31.42,4,1,8913.333,0.16,3.525E-05,1.135E-01,1.3E-07,1.8E-04
47,75,3.0,31.42,4,2,7522.000,0.16,4.275E-05,9.576E-02,1.3E-07,1.5E-04
47,75,3.0,31.42,4,3,5886.333,0.15,5.250E-05,7.494E-02,1.3E-07,1.1E-04
47,75,3.0,31.42,4,4,4298.333,0.16,6.475E-05,5.472E-02,1.3E-07,8.5E-05
47,75,3.0,31.42,4,5,2924.333,0.17,8.025E-05,3.723E-02,1.3E-07,6.4E-05
47,75,3.0,31.42,4,6,1847.333,0.17,1.003E-04,2.352E-02,1.3E-07,3.9E-05
47,75,3.0,31.42,4,7,1091.667,0.14,1.258E-04,1.390E-02,1.3E-07,2.0E-05
