TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,12410.000,0.01,6.813E-06,6.320E-01,5.1E-07,6.7E-05
47,285,3.0,31.42,2,2,11020.000,0.01,8.688E-06,5.612E-01,5.1E-07,4.5E-05
47,285,3.0,31.42,2,3,9414.000,0.01,1.113E-05,4.794E-01,5.1E-07,5.2E-05
47,285,3.0,31.42,2,4,7946.333,0.03,1.419E-05,4.047E-01,5.1E-07,1.1E-04
47,285,3.0,31.42,2,5,1989.000,0.05,1.807E-05,1.013E-01,5.1E-07,5.2E-05
47,285,3.0,31.42,2,6,940.033,0.04,2.306E-05,4.787E-02,5.1E-07,1.8E-05
47,285,3.0,31.42,2,7,448.700,0.04,2.944E-05,2.285E-02,5.1E-07,1.1E-05
47,285,3.0,31.42,2,8,204.867,0.03,3.756E-05,1.043E-02,5.1E-07,3.5E-06
47,285,3.0,31.42,2,9,89.113,0.03,4.794E-05,4.538E-03,5.1E-07,1.8E-06
47,285,3.0,31.42,2,10,38.673,0.09,6.113E-05,1.969E-03,5.1E-07,2.3E-06
47,285,3.0,31.42,2,11,17.033,1.33,7.794E-05,8.674E-04,5.1E-07,1.2E-05
47,285,3.0,31.42,2,12,8.211,1.23,9.938E-05,4.181E-04,5.1E-07,5.7E-06
47,285,3.0,31.42,2,13,4.242,1.87,1.267E-04,2.160E-04,5.1E-07,4.6E-06
47,285,3.0,31.42,2,14,2.073,1.57,1.664E-04,1.055E-04,5.1E-07,2.2E-06
47,285,3.0,31.42,2,15,1.170,2.68,2.060E-04,5.960E-05,5.1E-07,2.1E-06
47,285,3.0,31.42,2,16,0.577,5.71,2.628E-04,2.940E-05,5.1E-07,2.2E-06
47,285,3.0,31.42,2,17,0.253,2.81,3.352E-04,1.288E-05,5.1E-07,8.7E-07
47,285,3.0,31.42,2,18,0.086,3.94,4.277E-04,4.381E-06,5.1E-07,6.8E-07
47,285,3.0,31.42,2,19,0.029,14.29,5.456E-04,1.457E-06,5.1E-07,7.2E-07
47,285,3.0,31.42,2,20,0.000,5895.83,6.959E-04,1.222E-08,5.1E-07,1.2E-06
47,75,3.0,31.42,5,1,1774.000,0.08,3.525E-05,1.129E-02,6.4E-08,8.6E-06
47,75,3.0,31.42,5,2,923.000,0.08,4.275E-05,5.875E-03,6.4E-08,4.7E-06
47,75,3.0,31.42,5,3,447.267,0.09,5.250E-05,2.847E-03,6.4E-08,2.7E-06
47,75,3.0,31.42,5,4,209.800,0.13,6.475E-05,1.335E-03,6.4E-08,1.7E-06
47,75,3.0,31.42,5,5,97.610,0.07,8.025E-05,6.213E-04,6.4E-08,5.2E-07
47,75,3.0,31.42,5,6,45.937,0.32,1.003E-04,2.924E-04,6.4E-08,9.9E-07
47,75,3.0,31.42,5,7,22.430,0.80,1.258E-04,1.428E-04,6.4E-08,1.2E-06
47,75,3.0,31.42,5,8,11.357,1.72,1.583E-04,7.229E-05,6.4E-08,1.3E-06
47,75,3.0,31.42,5,9,5.650,1.29,1.998E-04,3.596E-05,6.4E-08,5.3E-07
47,75,3.0,31.42,5,10,2.729,2.93,2.525E-04,1.737E-05,6.4E-08,5.7E-07
47,75,3.0,31.42,5,11,1.213,6.41,3.198E-04,7.721E-06,6.4E-08,5.6E-07
47,75,3.0,31.42,5,12,0.397,35.78,4.055E-04,2.528E-06,6.4E-08,9.7E-07
47,75,3.0,31.42,5,13,0.109,72.81,5.148E-04,6.912E-07,6.4E-08,5.7E-07
47,75,3.0,31.42,5,14,-0.010,524.80,6.543E-04,-6.232E-08,6.4E-08,3.9E-07
47,75,3.0,31.42,5,15,-0.047,130.45,8.323E-04,-2.972E-07,6.4E-08,4.5E-07
47,75,3.0,31.42,5,16,-0.089,129.00,1.059E-03,-5.669E-07,6.4E-08,8.0E-07
47,75,3.0,31.42,5,17,-0.082,76.22,1.349E-03,-5.224E-07,6.4E-08,4.6E-07
47,75,3.0,31.42,5,18,-0.070,40.17,1.719E-03,-4.478E-07,6.4E-08,2.4E-07
47,75,3.0,31.42,5,19,-0.070,106.43,2.190E-03,-4.477E-07,6.4E-08,5.4E-07
47,75,3.0,31.42,5,20,-0.069,70.94,2.792E-03,-4.412E-07,6.4E-08,3.8E-07
47,30,3.0,31.42,5,1,72.350,1.98,8.813E-05,4.605E-04,6.4E-08,9.2E-06
47,30,3.0,31.42,5,2,38.093,0.99,1.069E-04,2.425E-04,6.4E-08,2.5E-06
47,30,3.0,31.42,5,3,20.070,1.10,1.313E-04,1.278E-04,6.4E-08,1.5E-06
47,30,3.0,31.42,5,4,10.843,2.82,1.619E-04,6.902E-05,6.4E-08,2.0E-06
47,30,3.0,31.42,5,5,5.647,0.39,2.006E-04,3.594E-05,6.4E-08,2.0E-07
47,30,3.0,31.42,5,6,2.879,5.11,2.506E-04,1.833E-05,6.4E-08,1.0E-06
47,30,3.0,31.42,5,7,1.312,2.62,3.144E-04,8.349E-06,6.4E-08,2.8E-07
47,30,3.0,31.42,5,8,0.526,18.10,3.956E-04,3.347E-06,6.4E-08,6.7E-07
47,30,3.0,31.42,5,9,0.162,35.07,4.994E-04,1.031E-06,6.4E-08,4.3E-07
47,30,3.0,31.42,5,10,0.003,1622.26,6.313E-04,1.685E-08,6.4E-08,3.4E-07
47,30,3.0,31.42,5,11,-0.052,155.11,7.994E-04,-3.306E-07,6.4E-08,5.8E-07
47,30,3.0,31.42,5,12,-0.058,156.27,1.014E-03,-3.706E-07,6.4E-08,6.4E-07
47,30,3.0,31.42,5,13,-0.049,88.26,1.287E-03,-3.119E-07,6.4E-08,3.4E-07
47,30,3.0,31.42,5,14,-0.036,65.95,1.636E-03,-2.281E-07,6.4E-08,2.1E-07
47,30,3.0,31.42,5,15,-0.034,91.63,2.081E-03,-2.138E-07,6.4E-08,2.6E-07
47,30,3.0,31.42,5,16,-0.038,94.47,2.648E-03,-2.440E-07,6.4E-08,2.9E-07
47,30,3.0,31.42,5,17,-0.041,154.14,3.373E-03,-2.620E-07,6.4E-08,4.7E-07
47,30,3.0,31.42,5,18,-0.033,111.25,4.297E-03,-2.126E-07,6.4E-08,3.0E-07
47,30,3.0,31.42,5,19,-0.034,177.72,5.475E-03,-2.173E-07,6.4E-08,4.5E-07
47,30,3.0,31.42,5,20,-0.037,103.49,6.978E-03,-2.346E-07,6.4E-08,3.1E-07
57,30,8.6,31.42,6,1,177.700,0.51,8.813E-05,1.973E-04,1.1E-08,1.0E-06
57,30,8.6,31.42,6,2,115.467,0.25,1.069E-04,1.282E-04,1.1E-08,3.3E-07
57,30,8.6,31.42,6,3,67.773,0.36,1.313E-04,7.524E-05,1.1E-08,2.8E-07
57,30,8.6,31.42,6,4,40.933,0.40,1.619E-04,4.545E-05,1.1E-08,1.9E-07
57,30,8.6,31.42,6,5,23.493,0.38,2.006E-04,2.608E-05,1.1E-08,1.1E-07
57,30,8.6,31.42,6,6,12.747,0.71,2.506E-04,1.415E-05,1.1E-08,1.1E-07
57,30,8.6,31.42,6,7,6.415,0.89,3.144E-04,7.123E-06,1.1E-08,7.4E-08
57,30,8.6,31.42,6,8,2.515,3.86,3.956E-04,2.792E-06,1.1E-08,1.2E-07
57,30,8.6,31.42,6,9,1.025,10.14,4.994E-04,1.138E-06,1.1E-08,1.3E-07
57,30,8.6,31.42,6,10,0.242,37.74,6.313E-04,2.691E-07,1.1E-08,1.1E-07
57,30,8.6,31.42,6,11,-0.091,125.14,7.994E-04,-1.009E-07,1.1E-08,1.4E-07
57,30,8.6,31.42,6,12,-0.161,63.97,1.014E-03,-1.784E-07,1.1E-08,1.3E-07
57,30,8.6,31.42,6,13,-0.149,49.90,1.287E-03,-1.658E-07,1.1E-08,9.4E-08
57,30,8.6,31.42,6,14,-0.154,106.83,1.636E-03,-1.712E-07,1.1E-08,1.9E-07
57,30,8.6,31.42,6,15,-0.111,44.78,2.081E-03,-1.233E-07,1.1E-08,6.6E-08
57,30,8.6,31.42,6,16,-0.080,147.59,2.648E-03,-8.839E-08,1.1E-08,1.4E-07
57,30,8.6,31.42,6,17,-0.103,43.03,3.373E-03,-1.145E-07,1.1E-08,6.0E-08
57,30,8.6,31.42,6,18,-0.095,104.08,4.297E-03,-1.058E-07,1.1E-08,1.2E-07
57,30,8.6,31.42,6,19,-0.093,88.70,5.475E-03,-1.037E-07,1.1E-08,1.0E-07
57,30,8.6,31.42,6,20,-0.046,263.90,6.978E-03,-5.158E-08,1.1E-08,1.5E-07
57,7.5,8.9,31.42,6,1,4.703,17.20,3.525E-04,5.046E-06,1.1E-08,8.8E-07
57,7.5,8.9,31.42,6,2,2.225,22.83,4.275E-04,2.387E-06,1.1E-08,5.6E-07
57,7.5,8.9,31.42,6,3,0.853,13.94,5.250E-04,9.152E-07,1.1E-08,1.4E-07
57,7.5,8.9,31.42,6,4,0.254,20.78,6.475E-04,2.724E-07,1.1E-08,6.7E-08
57,7.5,8.9,31.42,6,5,0.062,41.02,8.025E-04,6.667E-08,1.1E-08,3.8E-08
57,7.5,8.9,31.42,6,6,-0.152,154.65,1.003E-03,-1.633E-07,1.1E-08,2.6E-07
57,7.5,8.9,31.42,6,7,-0.183,24.22,1.258E-03,-1.964E-07,1.1E-08,5.8E-08
57,7.5,8.9,31.42,6,8,-0.139,63.00,1.583E-03,-1.486E-07,1.1E-08,1.0E-07
57,7.5,8.9,31.42,6,9,-0.172,78.85,1.998E-03,-1.848E-07,1.1E-08,1.6E-07
57,7.5,8.9,31.42,6,10,-0.145,109.77,2.525E-03,-1.551E-07,1.1E-08,1.8E-07
57,7.5,8.9,31.42,6,11,-0.127,97.06,3.198E-03,-1.360E-07,1.1E-08,1.4E-07
57,7.5,8.9,31.42,6,12,-0.093,215.09,4.055E-03,-9.965E-08,1.1E-08,2.3E-07
57,7.5,8.9,31.42,6,13,-0.086,112.89,5.148E-03,-9.188E-08,1.1E-08,1.1E-07
57,7.5,8.9,31.42,6,14,-0.079,148.09,6.543E-03,-8.490E-08,1.1E-08,1.4E-07
57,7.5,8.9,31.42,6,15,-0.103,110.07,8.323E-03,-1.104E-07,1.1E-08,1.3E-07
57,7.5,8.9,31.42,6,16,-0.094,147.69,1.059E-02,-1.007E-07,1.1E-08,1.6E-07
57,7.5,8.9,31.42,6,17,-0.073,148.18,1.349E-02,-7.877E-08,1.1E-08,1.3E-07
57,7.5,8.9,31.42,6,18,-0.061,172.03,1.719E-02,-6.498E-08,1.1E-08,1.2E-07
57,7.5,8.9,31.42,6,19,-0.060,119.55,2.190E-02,-6.389E-08,1.1E-08,8.7E-08
57,7.5,8.9,31.42,6,20,-0.058,152.26,2.792E-02,-6.250E-08,1.1E-08,1.1E-07
57,3,9.0,31.42,6,1,0.186,93.98,8.813E-04,1.969E-07,1.1E-08,2.0E-07
57,3,9.0,31.42,6,2,-0.027,581.40,1.069E-03,-2.874E-08,1.1E-08,1.8E-07
57,3,9.0,31.42,6,3,-0.220,26.75,1.313E-03,-2.335E-07,1.1E-08,7.3E-08
57,3,9.0,31.42,6,4,-0.158,87.98,1.619E-03,-1.679E-07,1.1E-08,1.6E-07
57,3,9.0,31.42,6,5,-0.146,39.61,2.006E-03,-1.551E-07,1.1E-08,7.2E-08
57,3,9.0,31.42,6,6,-0.102,107.95,2.506E-03,-1.083E-07,1.1E-08,1.3E-07
57,3,9.0,31.42,6,7,-0.157,158.09,3.144E-03,-1.668E-07,1.1E-08,2.7E-07
57,3,9.0,31.42,6,8,-0.128,42.83,3.956E-03,-1.363E-07,1.1E-08,6.9E-08
57,3,9.0,31.42,6,9,-0.088,188.99,4.994E-03,-9.358E-08,1.1E-08,1.9E-07
57,3,9.0,31.42,6,10,-0.092,115.66,6.313E-03,-9.751E-08,1.1E-08,1.2E-07
57,3,9.0,31.42,6,11,-0.082,82.36,7.994E-03,-8.694E-08,1.1E-08,8.2E-08
57,3,9.0,31.42,6,12,-0.069,135.31,1.014E-02,-7.323E-08,1.1E-08,1.1E-07
57,3,9.0,31.42,6,13,-0.106,31.60,1.287E-02,-1.125E-07,1.1E-08,4.6E-08
