TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,5725.000,0.04,6.813E-06,2.915E-01,5.1E-07,1.1E-04
47,285,3.0,31.42,2,2,5402.667,0.03,8.688E-06,2.751E-01,5.1E-07,9.6E-05
47,285,3.0,31.42,2,3,4948.333,0.04,1.113E-05,2.520E-01,5.1E-07,9.6E-05
47,285,3.0,31.42,2,4,4405.000,0.04,1.419E-05,2.243E-01,5.1E-07,9.3E-05
47,285,3.0,31.42,2,5,3712.667,0.02,1.807E-05,1.891E-01,5.1E-07,3.9E-05
47,285,3.0,31.42,2,6,2961.333,0.04,2.306E-05,1.508E-01,5.1E-07,5.7E-05
47,285,3.0,31.42,2,7,2205.333,0.04,2.944E-05,1.123E-01,5.1E-07,5.1E-05
47,285,3.0,31.42,2,8,1537.000,0.05,3.756E-05,7.827E-02,5.1E-07,4.3E-05
47,285,3.0,31.42,2,9,985.833,0.05,4.794E-05,5.020E-02,5.1E-07,2.7E-05
47,285,3.0,31.42,2,10,582.967,0.07,6.113E-05,2.969E-02,5.1E-07,2.1E-05
47,285,3.0,31.42,2,11,314.067,0.10,7.794E-05,1.599E-02,5.1E-07,1.6E-05
47,285,3.0,31.42,2,12,154.100,0.23,9.938E-05,7.847E-03,5.1E-07,1.9E-05
47,285,3.0,31.42,2,13,68.923,0.69,1.267E-04,3.510E-03,5.1E-07,2.5E-05
47,285,3.0,31.42,2,14,25.480,1.34,1.664E-04,1.298E-03,5.1E-07,1.8E-05
47,285,3.0,31.42,2,15,11.637,1.00,2.060E-04,5.926E-04,5.1E-07,6.4E-06
47,285,3.0,31.42,2,16,4.391,0.20,2.628E-04,2.236E-04,5.1E-07,9.5E-07
47,285,3.0,31.42,2,17,1.460,2.21,3.352E-04,7.436E-05,5.1E-07,2.2E-06
47,285,3.0,31.42,2,18,0.511,3.59,4.277E-04,2.602E-05,5.1E-07,1.4E-06
47,285,3.0,31.42,2,19,0.194,5.24,5.456E-04,9.893E-06,5.1E-07,1.0E-06
47,285,3.0,31.42,2,20,0.021,53.10,6.959E-04,1.085E-06,5.1E-07,1.1E-06
47,75,3.0,31.42,5,1,11966.667,0.07,3.525E-05,7.617E-02,6.4E-08,5.3E-05
47,75,3.0,31.42,5,2,8977.000,0.10,4.275E-05,5.714E-02,6.4E-08,5.7E-05
47,75,3.0,31.42,5,3,6005.000,0.10,5.250E-05,3.822E-02,6.4E-08,3.8E-05
47,75,3.0,31.42,5,4,3735.333,0.08,6.475E-05,2.378E-02,6.4E-08,2.0E-05
47,75,3.0,31.42,5,5,2144.000,0.05,8.025E-05,1.365E-02,6.4E-08,6.4E-06
47,75,3.0,31.42,5,6,1123.667,0.10,1.003E-04,7.153E-03,6.4E-08,7.1E-06
47,75,3.0,31.42,5,7,542.967,0.12,1.258E-04,3.456E-03,6.4E-08,4.2E-06
47,75,3.0,31.42,5,8,243.367,0.27,1.583E-04,1.549E-03,6.4E-08,4.3E-06
47,75,3.0,31.42,5,9,98.680,0.81,1.998E-04,6.281E-04,6.4E-08,5.1E-06
47,75,3.0,31.42,5,10,39.223,1.70,2.525E-04,2.497E-04,6.4E-08,4.3E-06
47,75,3.0,31.42,5,11,14.213,2.41,3.198E-04,9.047E-05,6.4E-08,2.2E-06
47,75,3.0,31.42,5,12,4.540,9.80,4.055E-04,2.890E-05,6.4E-08,2.9E-06
47,75,3.0,31.42,5,13,1.438,10.26,5.148E-04,9.151E-06,6.4E-08,1.0E-06
47,75,3.0,31.42,5,14,-0.683,49.53,6.543E-04,-4.346E-06,6.4E-08,2.2E-06
47,75,3.0,31.42,5,15,0.592,27.76,8.323E-04,3.770E-06,6.4E-08,1.1E-06
47,75,3.0,31.42,5,16,-0.019,1413.49,1.059E-03,-1.196E-07,6.4E-08,1.8E-06
47,75,3.0,31.42,5,17,-0.288,164.19,1.349E-03,-1.833E-06,6.4E-08,3.1E-06
47,75,3.0,31.42,5,18,-0.346,104.51,1.719E-03,-2.201E-06,6.4E-08,2.4E-06
47,75,3.0,31.42,5,19,-0.112,415.13,2.190E-03,-7.132E-07,6.4E-08,3.0E-06
47,75,3.0,31.42,5,20,-0.066,901.72,2.792E-03,-4.182E-07,6.4E-08,3.8E-06
47,30,3.0,31.42,5,1,1690.000,0.33,8.813E-05,1.076E-02,6.4E-08,3.6E-05
47,30,3.0,31.42,5,2,943.800,0.14,1.069E-04,6.008E-03,6.4E-08,8.3E-06
47,30,3.0,31.42,5,3,475.333,1.31,1.313E-04,3.026E-03,6.4E-08,4.0E-05
47,30,3.0,31.42,5,4,224.067,3.13,1.619E-04,1.426E-03,6.4E-08,4.5E-05
47,30,3.0,31.42,5,5,98.150,4.05,2.006E-04,6.248E-04,6.4E-08,2.5E-05
47,30,3.0,31.42,5,6,39.857,4.94,2.506E-04,2.537E-04,6.4E-08,1.3E-05
47,30,3.0,31.42,5,7,16.353,6.82,3.144E-04,1.041E-04,6.4E-08,7.2E-06
47,30,3.0,31.42,5,8,6.693,5.37,3.956E-04,4.260E-05,6.4E-08,2.4E-06
47,30,3.0,31.42,5,9,2.547,6.77,4.994E-04,1.621E-05,6.4E-08,1.2E-06
47,30,3.0,31.42,5,10,0.907,20.41,6.313E-04,5.776E-06,6.4E-08,1.2E-06
47,30,3.0,31.42,5,11,0.401,71.56,7.994E-04,2.555E-06,6.4E-08,1.9E-06
47,30,3.0,31.42,5,12,0.058,335.45,1.014E-03,3.668E-07,6.4E-08,1.3E-06
47,30,3.0,31.42,5,13,0.127,42.43,1.287E-03,8.113E-07,6.4E-08,4.1E-07
47,30,3.0,31.42,5,14,0.076,95.46,1.636E-03,4.829E-07,6.4E-08,5.2E-07
47,30,3.0,31.42,5,15,0.008,2101.48,2.081E-03,4.948E-08,6.4E-08,1.1E-06
47,30,3.0,31.42,5,16,0.068,327.46,2.648E-03,4.339E-07,6.4E-08,1.5E-06
47,30,3.0,31.42,5,17,-0.089,385.69,3.373E-03,-5.689E-07,6.4E-08,2.3E-06
47,30,3.0,31.42,5,18,-0.033,620.16,4.297E-03,-2.077E-07,6.4E-08,1.4E-06
47,30,3.0,31.42,5,19,-0.108,264.31,5.475E-03,-6.885E-07,6.4E-08,1.9E-06
47,30,3.0,31.42,5,20,-0.072,430.12,6.978E-03,-4.582E-07,6.4E-08,2.0E-06
57,30,8.5,31.42,6,1,4433.333,0.42,8.813E-05,4.980E-03,1.1E-08,2.1E-05
57,30,8.5,31.42,6,2,2696.667,1.03,1.069E-04,3.029E-03,1.1E-08,3.1E-05
57,30,8.5,31.42,6,3,1502.000,1.93,1.313E-04,1.687E-03,1.1E-08,3.3E-05
57,30,8.5,31.42,6,4,772.233,3.14,1.619E-04,8.675E-04,1.1E-08,2.7E-05
57,30,8.5,31.42,6,5,364.633,3.61,2.006E-04,4.096E-04,1.1E-08,1.5E-05
57,30,8.5,31.42,6,6,155.633,0.59,2.506E-04,1.748E-04,1.1E-08,1.1E-06
57,30,8.5,31.42,6,7,62.383,2.45,3.144E-04,7.008E-05,1.1E-08,1.7E-06
57,30,8.5,31.42,6,8,22.950,3.19,3.956E-04,2.578E-05,1.1E-08,8.3E-07
57,30,8.5,31.42,6,9,8.566,2.83,4.994E-04,9.622E-06,1.1E-08,2.8E-07
57,30,8.5,31.42,6,10,3.107,11.05,6.313E-04,3.490E-06,1.1E-08,4.0E-07
57,30,8.5,31.42,6,11,1.267,11.78,7.994E-04,1.423E-06,1.1E-08,1.8E-07
57,30,8.5,31.42,6,12,0.340,114.86,1.014E-03,3.817E-07,1.1E-08,4.5E-07
57,30,8.5,31.42,6,13,0.318,42.34,1.287E-03,3.574E-07,1.1E-08,1.6E-07
57,30,8.5,31.42,6,14,-0.123,297.39,1.636E-03,-1.379E-07,1.1E-08,4.2E-07
57,30,8.5,31.42,6,15,0.070,181.25,2.081E-03,7.909E-08,1.1E-08,1.5E-07
57,30,8.5,31.42,6,16,0.049,108.97,2.648E-03,5.449E-08,1.1E-08,7.1E-08
57,30,8.5,31.42,6,17,0.007,1481.41,3.373E-03,7.856E-09,1.1E-08,1.3E-07
57,30,8.5,31.42,6,18,0.126,41.27,4.297E-03,1.414E-07,1.1E-08,7.0E-08
57,30,8.5,31.42,6,19,0.002,1934.64,5.475E-03,2.711E-09,1.1E-08,6.4E-08
57,30,8.5,31.42,6,20,-0.042,165.35,6.978E-03,-4.768E-08,1.1E-08,9.0E-08
57,7.5,8.9,31.42,6,1,38.237,5.31,3.525E-04,4.102E-05,1.1E-08,2.2E-06
57,7.5,8.9,31.42,6,2,16.333,2.34,4.275E-04,1.752E-05,1.1E-08,4.2E-07
57,7.5,8.9,31.42,6,3,7.363,3.12,5.250E-04,7.899E-06,1.1E-08,2.6E-07
57,7.5,8.9,31.42,6,4,2.687,3.01,6.475E-04,2.883E-06,1.1E-08,9.8E-08
57,7.5,8.9,31.42,6,5,1.287,21.23,8.025E-04,1.381E-06,1.1E-08,3.0E-07
57,7.5,8.9,31.42,6,6,0.517,84.57,1.003E-03,5.550E-07,1.1E-08,4.8E-07
57,7.5,8.9,31.42,6,7,0.234,100.55,1.258E-03,2.513E-07,1.1E-08,2.6E-07
57,7.5,8.9,31.42,6,8,0.045,635.42,1.583E-03,4.775E-08,1.1E-08,3.1E-07
57,7.5,8.9,31.42,6,9,0.079,220.66,1.998E-03,8.435E-08,1.1E-08,2.0E-07
57,7.5,8.9,31.42,6,10,0.154,85.01,2.525E-03,1.649E-07,1.1E-08,1.5E-07
57,7.5,8.9,31.42,6,11,0.154,62.53,3.198E-03,1.651E-07,1.1E-08,1.1E-07
57,7.5,8.9,31.42,6,12,0.056,349.90,4.055E-03,5.967E-08,1.1E-08,2.2E-07
57,7.5,8.9,31.42,6,13,0.130,137.93,5.148E-03,1.399E-07,1.1E-08,2.0E-07
57,7.5,8.9,31.42,6,14,0.093,288.85,6.543E-03,9.954E-08,1.1E-08,3.0E-07
57,7.5,8.9,31.42,6,15,0.146,159.04,8.323E-03,1.565E-07,1.1E-08,2.6E-07
57,7.5,8.9,31.42,6,16,0.126,201.41,1.059E-02,1.351E-07,1.1E-08,2.8E-07
57,7.5,8.9,31.42,6,17,0.149,169.31,1.349E-02,1.597E-07,1.1E-08,2.8E-07
57,7.5,8.9,31.42,6,18,0.143,201.21,1.719E-02,1.531E-07,1.1E-08,3.2E-07
57,7.5,8.9,31.42,6,19,0.152,172.60,2.190E-02,1.626E-07,1.1E-08,2.9E-07
57,7.5,8.9,31.42,6,20,0.135,116.36,2.792E-02,1.446E-07,1.1E-08,1.8E-07
57,3,8.9,31.42,6,1,1.039,204.55,8.813E-04,1.115E-06,1.1E-08,2.3E-06
57,3,8.9,31.42,6,2,0.647,101.71,1.069E-03,6.940E-07,1.1E-08,7.2E-07
57,3,8.9,31.42,6,3,0.377,89.42,1.313E-03,4.049E-07,1.1E-08,3.7E-07
57,3,8.9,31.42,6,4,0.272,55.47,1.619E-03,2.917E-07,1.1E-08,1.7E-07
57,3,8.9,31.42,6,5,0.064,567.31,2.006E-03,6.827E-08,1.1E-08,4.0E-07
57,3,8.9,31.42,6,6,0.107,193.99,2.506E-03,1.144E-07,1.1E-08,2.3E-07
57,3,8.9,31.42,6,7,0.173,195.84,3.144E-03,1.854E-07,1.1E-08,3.7E-07
57,3,8.9,31.42,6,8,0.057,768.95,3.956E-03,6.073E-08,1.1E-08,4.8E-07
57,3,8.9,31.42,6,9,0.058,761.11,4.994E-03,6.205E-08,1.1E-08,4.8E-07
57,3,8.9,31.42,6,10,0.101,655.68,6.313E-03,1.080E-07,1.1E-08,7.2E-07
57,3,8.9,31.42,6,11,-0.005,3812.50,7.994E-03,-5.493E-09,1.1E-08,2.2E-07
57,3,8.9,31.42,6,12,-0.082,166.21,1.014E-02,-8.807E-08,1.1E-08,1.6E-07
57,3,8.9,31.42,6,13,-0.119,459.32,1.287E-02,-1.271E-07,1.1E-08,5.9E-07
57,3,8.9,31.42,6,14,-0.143,636.71,1.636E-02,-1.536E-07,1.1E-08,9.9E-07
57,3,8.9,31.42,6,15,-0.231,454.45,2.081E-02,-2.481E-07,1.1E-08,1.1E-06
57,3,8.9,31.42,6,16,-0.252,443.12,2.648E-02,-2.707E-07,1.1E-08,1.2E-06
57,3,8.9,31.42,6,17,-0.362,287.45,3.373E-02,-3.881E-07,1.1E-08,1.1E-06
57,3,8.9,31.42,6,18,-0.358,270.91,4.297E-02,-3.839E-07,1.1E-08,1.1E-06
57,3,8.9,31.42,6,19,-0.353,250.80,5.475E-02,-3.786E-07,1.1E-08,9.6E-07
57,3,8.9,31.42,6,20,-0.310,211.95,6.978E-02,-3.325E-07,1.1E-08,7.2E-07
