TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,9306.333,0.17,6.813E-06,4.739E-01,5.1E-07,7.9E-04
47,285,3.0,31.42,2,2,7582.667,0.17,8.688E-06,3.861E-01,5.1E-07,6.7E-04
47,285,3.0,31.42,2,3,5613.667,0.19,1.113E-05,2.859E-01,5.1E-07,5.4E-04
47,285,3.0,31.42,2,4,3887.333,0.18,1.419E-05,1.980E-01,5.1E-07,3.6E-04
47,285,3.0,31.42,2,5,2471.333,0.16,1.807E-05,1.258E-01,5.1E-07,2.1E-04
47,285,3.0,31.42,2,6,1447.667,0.17,2.306E-05,7.372E-02,5.1E-07,1.3E-04
47,285,3.0,31.42,2,7,778.767,0.18,2.944E-05,3.966E-02,5.1E-07,7.2E-05
47,285,3.0,31.42,2,8,390.067,0.18,3.756E-05,1.986E-02,5.1E-07,3.7E-05
47,285,3.0,31.42,2,9,181.267,0.19,4.794E-05,9.231E-03,5.1E-07,1.8E-05
47,285,3.0,31.42,2,10,79.837,0.16,6.113E-05,4.066E-03,5.1E-07,7.2E-06
47,285,3.0,31.42,2,11,33.353,0.23,7.794E-05,1.698E-03,5.1E-07,4.3E-06
47,285,3.0,31.42,2,12,13.870,0.19,9.938E-05,7.063E-04,5.1E-07,1.9E-06
47,285,3.0,31.42,2,13,5.900,0.05,1.267E-04,3.004E-04,5.1E-07,6.6E-07
47,285,3.0,31.42,2,14,2.423,0.17,1.664E-04,1.234E-04,5.1E-07,7.1E-07
47,285,3.0,31.42,2,15,1.332,0.45,2.060E-04,6.783E-05,5.1E-07,8.1E-07
47,285,3.0,31.42,2,16,0.688,0.22,2.628E-04,3.504E-05,5.1E-07,5.9E-07
47,285,3.0,31.42,2,17,0.368,1.11,3.352E-04,1.872E-05,5.1E-07,7.2E-07
47,285,3.0,31.42,2,18,0.180,1.79,4.277E-04,9.180E-06,5.1E-07,6.7E-07
47,285,3.0,31.42,2,19,0.083,3.53,5.456E-04,4.237E-06,5.1E-07,6.6E-07
47,285,3.0,31.42,2,20,0.034,4.55,6.959E-04,1.712E-06,5.1E-07,5.9E-07
47,75,3.0,31.42,5,1,3414.667,0.02,3.525E-05,2.174E-02,6.4E-08,3.8E-06
47,75,3.0,31.42,5,2,1911.333,0.03,4.275E-05,1.217E-02,6.4E-08,3.8E-06
47,75,3.0,31.42,5,3,982.867,0.03,5.250E-05,6.256E-03,6.4E-08,2.2E-06
47,75,3.0,31.42,5,4,478.667,0.10,6.475E-05,3.047E-03,6.4E-08,3.0E-06
47,75,3.0,31.42,5,5,222.967,0.06,8.025E-05,1.419E-03,6.4E-08,9.6E-07
47,75,3.0,31.42,5,6,100.100,0.11,1.003E-04,6.372E-04,6.4E-08,7.5E-07
47,75,3.0,31.42,5,7,45.457,0.39,1.258E-04,2.893E-04,6.4E-08,1.2E-06
47,75,3.0,31.42,5,8,21.763,0.90,1.583E-04,1.385E-04,6.4E-08,1.3E-06
47,75,3.0,31.42,5,9,11.007,0.91,1.998E-04,7.006E-05,6.4E-08,7.0E-07
47,75,3.0,31.42,5,10,5.873,1.12,2.525E-04,3.739E-05,6.4E-08,4.8E-07
47,75,3.0,31.42,5,11,3.183,4.08,3.198E-04,2.026E-05,6.4E-08,8.9E-07
47,75,3.0,31.42,5,12,1.582,4.81,4.055E-04,1.007E-05,6.4E-08,5.5E-07
47,75,3.0,31.42,5,13,0.811,14.82,5.148E-04,5.164E-06,6.4E-08,8.3E-07
47,75,3.0,31.42,5,14,0.356,25.07,6.543E-04,2.265E-06,6.4E-08,6.3E-07
47,75,3.0,31.42,5,15,0.112,83.57,8.323E-04,7.099E-07,6.4E-08,6.6E-07
47,75,3.0,31.42,5,16,0.023,160.48,1.059E-03,1.445E-07,6.4E-08,3.0E-07
47,75,3.0,31.42,5,17,-0.046,97.37,1.349E-03,-2.923E-07,6.4E-08,3.5E-07
47,75,3.0,31.42,5,18,-0.046,116.10,1.719E-03,-2.952E-07,6.4E-08,4.1E-07
47,75,3.0,31.42,5,19,-0.067,87.19,2.190E-03,-4.234E-07,6.4E-08,4.3E-07
47,75,3.0,31.42,5,20,-0.060,45.80,2.792E-03,-3.836E-07,6.4E-08,2.4E-07
47,30,3.0,31.42,5,1,161.900,0.66,8.813E-05,1.031E-03,6.4E-08,6.9E-06
47,30,3.0,31.42,5,2,81.353,0.60,1.069E-04,5.178E-04,6.4E-08,3.2E-06
47,30,3.0,31.42,5,3,40.233,0.38,1.313E-04,2.561E-04,6.4E-08,1.0E-06
47,30,3.0,31.42,5,4,20.787,0.46,1.619E-04,1.323E-04,6.4E-08,6.7E-07
47,30,3.0,31.42,5,5,11.110,0.63,2.006E-04,7.072E-05,6.4E-08,5.1E-07
47,30,3.0,31.42,5,6,6.120,1.39,2.506E-04,3.896E-05,6.4E-08,6.1E-07
47,30,3.0,31.42,5,7,3.371,0.68,3.144E-04,2.146E-05,6.4E-08,2.1E-07
47,30,3.0,31.42,5,8,1.750,7.66,3.956E-04,1.114E-05,6.4E-08,9.2E-07
47,30,3.0,31.42,5,9,0.876,10.92,4.994E-04,5.578E-06,6.4E-08,6.7E-07
47,30,3.0,31.42,5,10,0.411,14.61,6.313E-04,2.614E-06,6.4E-08,4.5E-07
47,30,3.0,31.42,5,11,0.177,29.10,7.994E-04,1.129E-06,6.4E-08,3.9E-07
47,30,3.0,31.42,5,12,0.049,145.06,1.014E-03,3.088E-07,6.4E-08,5.1E-07
47,30,3.0,31.42,5,13,-0.009,541.75,1.287E-03,-6.022E-08,6.4E-08,3.9E-07
47,30,3.0,31.42,5,14,-0.048,71.72,1.636E-03,-3.083E-07,6.4E-08,2.8E-07
47,30,3.0,31.42,5,15,-0.044,157.59,2.081E-03,-2.787E-07,6.4E-08,5.0E-07
47,30,3.0,31.42,5,16,-0.070,52.98,2.648E-03,-4.438E-07,6.4E-08,3.0E-07
47,30,3.0,31.42,5,17,-0.041,96.91,3.373E-03,-2.640E-07,6.4E-08,3.2E-07
47,30,3.0,31.42,5,18,-0.051,98.87,4.297E-03,-3.266E-07,6.4E-08,3.9E-07
47,30,3.0,31.42,5,19,-0.051,42.85,5.475E-03,-3.224E-07,6.4E-08,2.0E-07
47,30,3.0,31.42,5,20,-0.044,55.15,6.978E-03,-2.777E-07,6.4E-08,2.2E-07
57,30,8.6,31.42,6,1,364.367,0.80,8.813E-05,4.045E-04,1.1E-08,3.2E-06
57,30,8.6,31.42,6,2,226.033,0.57,1.069E-04,2.510E-04,1.1E-08,1.4E-06
57,30,8.6,31.42,6,3,130.700,0.55,1.313E-04,1.451E-04,1.1E-08,8.1E-07
57,30,8.6,31.42,6,4,79.393,0.32,1.619E-04,8.815E-05,1.1E-08,2.9E-07
57,30,8.6,31.42,6,5,47.937,0.41,2.006E-04,5.322E-05,1.1E-08,2.3E-07
57,30,8.6,31.42,6,6,29.133,0.74,2.506E-04,3.234E-05,1.1E-08,2.5E-07
57,30,8.6,31.42,6,7,17.217,0.83,3.144E-04,1.911E-05,1.1E-08,1.7E-07
