TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,11350.000,0.00,6.813E-06,5.780E-01,5.1E-07,2.6E-05
47,285,3.0,31.42,2,2,9448.000,0.00,8.688E-06,4.811E-01,5.1E-07,6.6E-06
47,285,3.0,31.42,2,3,8041.333,0.01,1.113E-05,4.095E-01,5.1E-07,3.0E-05
47,285,3.0,31.42,2,4,4048.000,0.05,1.419E-05,2.061E-01,5.1E-07,1.0E-04
47,285,3.0,31.42,2,5,642.733,0.04,1.807E-05,3.273E-02,5.1E-07,1.2E-05
47,285,3.0,31.42,2,6,258.900,0.07,2.306E-05,1.318E-02,5.1E-07,1.0E-05
47,285,3.0,31.42,2,7,110.033,0.19,2.944E-05,5.603E-03,5.1E-07,1.1E-05
47,285,3.0,31.42,2,8,47.530,0.33,3.756E-05,2.420E-03,5.1E-07,8.5E-06
47,285,3.0,31.42,2,9,22.273,0.52,4.794E-05,1.134E-03,5.1E-07,6.4E-06
47,285,3.0,31.42,2,10,11.880,0.68,6.113E-05,6.050E-04,5.1E-07,4.6E-06
47,285,3.0,31.42,2,11,6.627,0.69,7.794E-05,3.375E-04,5.1E-07,2.8E-06
47,285,3.0,31.42,2,12,3.995,0.89,9.938E-05,2.034E-04,5.1E-07,2.3E-06
47,285,3.0,31.42,2,13,2.329,1.11,1.267E-04,1.186E-04,5.1E-07,1.8E-06
47,285,3.0,31.42,2,14,1.190,0.70,1.664E-04,6.058E-05,5.1E-07,9.3E-07
47,285,3.0,31.42,2,15,0.664,1.08,2.060E-04,3.380E-05,5.1E-07,8.7E-07
47,285,3.0,31.42,2,16,0.348,5.44,2.628E-04,1.772E-05,5.1E-07,1.5E-06
47,285,3.0,31.42,2,17,0.142,9.85,3.352E-04,7.250E-06,5.1E-07,1.2E-06
47,285,3.0,31.42,2,18,0.045,36.77,4.277E-04,2.293E-06,5.1E-07,1.4E-06
47,285,3.0,31.42,2,19,0.009,129.39,5.456E-04,4.558E-07,5.1E-07,1.1E-06
47,285,3.0,31.42,2,20,-0.006,323.45,6.959E-04,-3.018E-07,5.1E-07,1.5E-06
47,75,3.0,31.42,5,1,400.733,0.16,3.525E-05,2.551E-03,6.4E-08,4.1E-06
47,75,3.0,31.42,5,2,206.700,0.15,4.275E-05,1.316E-03,6.4E-08,2.0E-06
47,75,3.0,31.42,5,3,108.033,0.22,5.250E-05,6.877E-04,6.4E-08,1.6E-06
47,75,3.0,31.42,5,4,59.397,0.17,6.475E-05,3.781E-04,6.4E-08,7.0E-07
47,75,3.0,31.42,5,5,33.303,0.58,8.025E-05,2.120E-04,6.4E-08,1.3E-06
47,75,3.0,31.42,5,6,18.567,0.52,1.003E-04,1.182E-04,6.4E-08,6.8E-07
47,75,3.0,31.42,5,7,9.756,0.63,1.258E-04,6.210E-05,6.4E-08,4.5E-07
47,75,3.0,31.42,5,8,4.820,2.13,1.583E-04,3.068E-05,6.4E-08,7.2E-07
47,75,3.0,31.42,5,9,2.293,5.22,1.998E-04,1.459E-05,6.4E-08,8.3E-07
47,75,3.0,31.42,5,10,1.069,8.13,2.525E-04,6.802E-06,6.4E-08,6.2E-07
47,75,3.0,31.42,5,11,0.398,15.32,3.198E-04,2.531E-06,6.4E-08,4.5E-07
47,75,3.0,31.42,5,12,0.042,318.92,4.055E-04,2.645E-07,6.4E-08,9.1E-07
47,75,3.0,31.42,5,13,-0.040,130.19,5.148E-04,-2.552E-07,6.4E-08,4.0E-07
47,75,3.0,31.42,5,14,-0.087,74.47,6.543E-04,-5.516E-07,6.4E-08,4.7E-07
47,75,3.0,31.42,5,15,-0.098,54.10,8.323E-04,-6.214E-07,6.4E-08,4.0E-07
47,75,3.0,31.42,5,16,-0.090,127.84,1.059E-03,-5.711E-07,6.4E-08,7.9E-07
47,75,3.0,31.42,5,17,-0.079,120.96,1.349E-03,-5.037E-07,6.4E-08,6.7E-07
47,75,3.0,31.42,5,18,-0.084,134.02,1.719E-03,-5.358E-07,6.4E-08,7.8E-07
47,75,3.0,31.42,5,19,-0.069,130.18,2.190E-03,-4.412E-07,6.4E-08,6.4E-07
47,75,3.0,31.42,5,20,-0.053,152.24,2.792E-03,-3.389E-07,6.4E-08,5.8E-07
47,30,3.0,31.42,5,1,27.530,0.98,8.813E-05,1.752E-04,6.4E-08,1.8E-06
47,30,3.0,31.42,5,2,16.107,1.36,1.069E-04,1.025E-04,6.4E-08,1.5E-06
47,30,3.0,31.42,5,3,8.901,0.66,1.313E-04,5.666E-05,6.4E-08,4.4E-07
47,30,3.0,31.42,5,4,4.718,2.65,1.619E-04,3.003E-05,6.4E-08,8.6E-07
47,30,3.0,31.42,5,5,2.301,3.06,2.006E-04,1.464E-05,6.4E-08,5.1E-07
47,30,3.0,31.42,5,6,1.247,9.59,2.506E-04,7.938E-06,6.4E-08,8.3E-07
47,30,3.0,31.42,5,7,0.420,25.10,3.144E-04,2.673E-06,6.4E-08,7.3E-07
47,30,3.0,31.42,5,8,0.115,106.68,3.956E-04,7.333E-07,6.4E-08,8.5E-07
47,30,3.0,31.42,5,9,-0.002,3987.24,4.994E-04,-1.547E-08,6.4E-08,6.8E-07
47,30,3.0,31.42,5,10,-0.050,228.54,6.313E-04,-3.161E-07,6.4E-08,7.9E-07
47,30,3.0,31.42,5,11,-0.048,169.50,7.994E-04,-3.067E-07,6.4E-08,5.8E-07
47,30,3.0,31.42,5,12,-0.068,97.04,1.014E-03,-4.331E-07,6.4E-08,4.8E-07
47,30,3.0,31.42,5,13,-0.049,123.79,1.287E-03,-3.147E-07,6.4E-08,4.5E-07
47,30,3.0,31.42,5,14,-0.074,105.84,1.636E-03,-4.710E-07,6.4E-08,5.6E-07
47,30,3.0,31.42,5,15,-0.045,184.75,2.081E-03,-2.882E-07,6.4E-08,6.0E-07
47,30,3.0,31.42,5,16,-0.037,215.57,2.648E-03,-2.353E-07,6.4E-08,5.7E-07
47,30,3.0,31.42,5,17,-0.048,108.09,3.373E-03,-3.086E-07,6.4E-08,4.0E-07
47,30,3.0,31.42,5,18,-0.044,58.45,4.297E-03,-2.809E-07,6.4E-08,2.3E-07
47,30,3.0,31.42,5,19,-0.021,166.47,5.475E-03,-1.352E-07,6.4E-08,2.9E-07
47,30,3.0,31.42,5,20,-0.031,141.59,6.978E-03,-1.961E-07,6.4E-08,3.4E-07
57,30,8.6,31.42,6,1,85.673,0.40,8.813E-05,9.512E-05,1.1E-08,3.9E-07
57,30,8.6,31.42,6,2,50.987,0.66,1.069E-04,5.661E-05,1.1E-08,3.8E-07
57,30,8.6,31.42,6,3,29.297,0.41,1.313E-04,3.253E-05,1.1E-08,1.4E-07
57,30,8.6,31.42,6,4,17.447,1.24,1.619E-04,1.937E-05,1.1E-08,2.5E-07
57,30,8.6,31.42,6,5,9.570,1.69,2.006E-04,1.062E-05,1.1E-08,1.9E-07
57,30,8.6,31.42,6,6,5.175,1.94,2.506E-04,5.745E-06,1.1E-08,1.2E-07
57,30,8.6,31.42,6,7,2.609,11.20,3.144E-04,2.897E-06,1.1E-08,3.4E-07
57,30,8.6,31.42,6,8,1.102,16.59,3.956E-04,1.223E-06,1.1E-08,2.1E-07
57,30,8.6,31.42,6,9,0.474,52.92,4.994E-04,5.258E-07,1.1E-08,2.9E-07
57,30,8.6,31.42,6,10,0.216,48.57,6.313E-04,2.396E-07,1.1E-08,1.3E-07
57,30,8.6,31.42,6,11,0.109,157.14,7.994E-04,1.208E-07,1.1E-08,2.0E-07
57,30,8.6,31.42,6,12,0.143,119.44,1.014E-03,1.591E-07,1.1E-08,2.0E-07
57,30,8.6,31.42,6,13,0.085,92.86,1.287E-03,9.422E-08,1.1E-08,9.9E-08
57,30,8.6,31.42,6,14,0.090,211.47,1.636E-03,9.960E-08,1.1E-08,2.2E-07
57,30,8.6,31.42,6,15,0.046,161.60,2.081E-03,5.101E-08,1.1E-08,9.4E-08
57,30,8.6,31.42,6,16,0.080,79.29,2.648E-03,8.855E-08,1.1E-08,8.1E-08
57,30,8.6,31.42,6,17,0.084,137.60,3.373E-03,9.343E-08,1.1E-08,1.4E-07
57,30,8.6,31.42,6,18,0.051,88.23,4.297E-03,5.614E-08,1.1E-08,6.1E-08
57,30,8.6,31.42,6,19,0.049,93.40,5.475E-03,5.429E-08,1.1E-08,6.2E-08
57,30,8.6,31.42,6,20,0.037,66.06,6.978E-03,4.065E-08,1.1E-08,3.8E-08
57,7.5,8.9,31.42,6,1,0.887,18.45,3.525E-04,9.511E-07,1.1E-08,1.9E-07
57,7.5,8.9,31.42,6,2,0.468,48.76,4.275E-04,5.024E-07,1.1E-08,2.6E-07
57,7.5,8.9,31.42,6,3,0.152,160.55,5.250E-04,1.630E-07,1.1E-08,2.7E-07
57,7.5,8.9,31.42,6,4,0.047,119.42,6.475E-04,4.993E-08,1.1E-08,7.0E-08
57,7.5,8.9,31.42,6,5,0.147,40.09,8.025E-04,1.578E-07,1.1E-08,7.4E-08
57,7.5,8.9,31.42,6,6,0.089,216.64,1.003E-03,9.572E-08,1.1E-08,2.2E-07
57,7.5,8.9,31.42,6,7,0.087,125.51,1.258E-03,9.317E-08,1.1E-08,1.3E-07
57,7.5,8.9,31.42,6,8,0.113,121.79,1.583E-03,1.215E-07,1.1E-08,1.6E-07
57,7.5,8.9,31.42,6,9,0.071,77.99,1.998E-03,7.627E-08,1.1E-08,7.0E-08
57,7.5,8.9,31.42,6,10,0.102,72.47,2.525E-03,1.098E-07,1.1E-08,9.0E-08
57,7.5,8.9,31.42,6,11,0.067,200.33,3.198E-03,7.155E-08,1.1E-08,1.5E-07
57,7.5,8.9,31.42,6,12,0.046,159.12,4.055E-03,4.960E-08,1.1E-08,9.0E-08
57,7.5,8.9,31.42,6,13,0.016,172.90,5.148E-03,1.707E-08,1.1E-08,4.0E-08
57,7.5,8.9,31.42,6,14,0.027,246.62,6.543E-03,2.858E-08,1.1E-08,8.1E-08
57,7.5,8.9,31.42,6,15,0.045,150.83,8.323E-03,4.801E-08,1.1E-08,8.3E-08
57,7.5,8.9,31.42,6,16,0.020,124.43,1.059E-02,2.174E-08,1.1E-08,3.8E-08
57,7.5,8.9,31.42,6,17,0.039,77.20,1.349E-02,4.235E-08,1.1E-08,4.3E-08
57,7.5,8.9,31.42,6,18,0.027,162.72,1.719E-02,2.935E-08,1.1E-08,5.8E-08
57,7.5,8.9,31.42,6,19,0.037,171.58,2.190E-02,3.978E-08,1.1E-08,7.9E-08
57,7.5,8.9,31.42,6,20,0.043,117.56,2.792E-02,4.661E-08,1.1E-08,6.6E-08
57,3,9.0,31.42,6,1,0.280,139.77,8.813E-04,2.967E-07,1.1E-08,4.3E-07
57,3,9.0,31.42,6,2,0.113,145.91,1.069E-03,1.200E-07,1.1E-08,1.9E-07
57,3,9.0,31.42,6,3,-0.163,249.18,1.313E-03,-1.732E-07,1.1E-08,4.4E-07
57,3,9.0,31.42,6,4,-0.043,269.96,1.619E-03,-4.597E-08,1.1E-08,1.3E-07
57,3,9.0,31.42,6,5,-0.054,48.57,2.006E-03,-5.779E-08,1.1E-08,3.9E-08
57,3,9.0,31.42,6,6,0.008,638.81,2.506E-03,8.770E-09,1.1E-08,6.7E-08
57,3,9.0,31.42,6,7,-0.076,201.33,3.144E-03,-8.110E-08,1.1E-08,1.7E-07
57,3,9.0,31.42,6,8,-0.055,231.56,3.956E-03,-5.805E-08,1.1E-08,1.5E-07
57,3,9.0,31.42,6,9,-0.063,111.92,4.994E-03,-6.650E-08,1.1E-08,8.5E-08
57,3,9.0,31.42,6,10,-0.019,246.84,6.313E-03,-1.976E-08,1.1E-08,5.9E-08
57,3,9.0,31.42,6,11,-0.062,209.79,7.994E-03,-6.528E-08,1.1E-08,1.5E-07
57,3,9.0,31.42,6,12,-0.052,53.61,1.014E-02,-5.531E-08,1.1E-08,4.0E-08
57,3,9.0,31.42,6,13,-0.017,133.07,1.287E-02,-1.783E-08,1.1E-08,3.4E-08
