TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,8076.000,0.01,6.813E-06,4.113E-01,5.1E-07,5.9E-05
47,285,3.0,31.42,2,2,7352.000,0.01,8.688E-06,3.744E-01,5.1E-07,5.2E-05
47,285,3.0,31.42,2,3,6246.000,0.00,1.113E-05,3.181E-01,5.1E-07,1.4E-05
47,285,3.0,31.42,2,4,4982.667,0.01,1.419E-05,2.537E-01,5.1E-07,3.0E-05
47,285,3.0,31.42,2,5,3631.667,0.02,1.807E-05,1.849E-01,5.1E-07,3.7E-05
47,285,3.0,31.42,2,6,2423.333,0.05,2.306E-05,1.234E-01,5.1E-07,5.9E-05
47,285,3.0,31.42,2,7,1480.333,0.08,2.944E-05,7.538E-02,5.1E-07,5.9E-05
47,285,3.0,31.42,2,8,838.833,0.24,3.756E-05,4.272E-02,5.1E-07,1.0E-04
47,285,3.0,31.42,2,9,439.367,0.33,4.794E-05,2.237E-02,5.1E-07,7.5E-05
47,285,3.0,31.42,2,10,216.733,0.11,6.113E-05,1.104E-02,5.1E-07,1.2E-05
47,285,3.0,31.42,2,11,101.533,1.14,7.794E-05,5.170E-03,5.1E-07,6.0E-05
47,285,3.0,31.42,2,12,45.580,0.35,9.938E-05,2.321E-03,5.1E-07,8.7E-06
47,285,3.0,31.42,2,13,20.477,0.42,1.267E-04,1.043E-03,5.1E-07,4.8E-06
47,285,3.0,31.42,2,14,8.501,2.13,1.664E-04,4.329E-04,5.1E-07,9.7E-06
47,285,3.0,31.42,2,15,4.792,7.73,2.060E-04,2.440E-04,5.1E-07,1.9E-05
47,285,3.0,31.42,2,16,2.013,10.51,2.628E-04,1.025E-04,5.1E-07,1.1E-05
47,285,3.0,31.42,2,17,0.603,39.24,3.352E-04,3.071E-05,5.1E-07,1.3E-05
47,285,3.0,31.42,2,18,0.545,11.62,4.277E-04,2.778E-05,5.1E-07,3.7E-06
47,285,3.0,31.42,2,19,0.371,68.16,5.456E-04,1.887E-05,5.1E-07,1.3E-05
47,285,3.0,31.42,2,20,-0.002,4548.15,6.959E-04,-1.258E-07,5.1E-07,6.2E-06
47,75,3.0,31.42,5,1,7021.000,0.23,3.525E-05,4.469E-02,6.4E-08,1.0E-04
47,75,3.0,31.42,5,2,4337.667,0.36,4.275E-05,2.761E-02,6.4E-08,9.9E-05
47,75,3.0,31.42,5,3,2469.667,0.49,5.250E-05,1.572E-02,6.4E-08,7.7E-05
47,75,3.0,31.42,5,4,1322.000,0.62,6.475E-05,8.415E-03,6.4E-08,5.2E-05
47,75,3.0,31.42,5,5,671.100,0.66,8.025E-05,4.272E-03,6.4E-08,2.8E-05
47,75,3.0,31.42,5,6,325.967,1.71,1.003E-04,2.075E-03,6.4E-08,3.6E-05
47,75,3.0,31.42,5,7,147.667,1.10,1.258E-04,9.400E-04,6.4E-08,1.0E-05
47,75,3.0,31.42,5,8,72.787,2.25,1.583E-04,4.633E-04,6.4E-08,1.0E-05
