TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,2,1,6864.333,0.05,6.813E-06,3.496E-01,5.1E-07,1.8E-04
47,285,3.0,31.42,2,2,6524.333,0.05,8.688E-06,3.322E-01,5.1E-07,1.8E-04
47,285,3.0,31.42,2,3,5884.000,0.05,1.113E-05,2.996E-01,5.1E-07,1.5E-04
47,285,3.0,31.42,2,4,5043.333,0.05,1.419E-05,2.568E-01,5.1E-07,1.3E-04
47,285,3.0,31.42,2,5,3999.333,0.06,1.807E-05,2.037E-01,5.1E-07,1.3E-04
47,285,3.0,31.42,2,6,2946.333,0.05,2.306E-05,1.500E-01,5.1E-07,7.8E-05
47,285,3.0,31.42,2,7,2011.000,0.05,2.944E-05,1.024E-01,5.1E-07,5.2E-05
47,285,3.0,31.42,2,8,1290.333,0.04,3.756E-05,6.571E-02,5.1E-07,3.0E-05
47,285,3.0,31.42,2,9,780.800,0.05,4.794E-05,3.976E-02,5.1E-07,2.1E-05
47,285,3.0,31.42,2,10,450.900,0.04,6.113E-05,2.296E-02,5.1E-07,1.1E-05
47,285,3.0,31.42,2,11,247.867,0.06,7.794E-05,1.262E-02,5.1E-07,8.3E-06
47,285,3.0,31.42,2,12,130.367,0.04,9.938E-05,6.639E-03,5.1E-07,3.5E-06
47,285,3.0,31.42,2,13,65.577,0.06,1.267E-04,3.339E-03,5.1E-07,2.6E-06
47,285,3.0,31.42,2,14,28.533,0.09,1.664E-04,1.453E-03,5.1E-07,1.8E-06
47,285,3.0,31.42,2,15,14.797,0.04,2.060E-04,7.535E-04,5.1E-07,8.0E-07
47,285,3.0,31.42,2,16,6.756,0.24,2.628E-04,3.440E-04,5.1E-07,1.3E-06
47,285,3.0,31.42,2,17,3.064,0.26,3.352E-04,1.560E-04,5.1E-07,9.1E-07
47,285,3.0,31.42,2,18,1.348,0.46,4.277E-04,6.866E-05,5.1E-07,8.2E-07
47,285,3.0,31.42,2,19,0.563,1.94,5.456E-04,2.864E-05,5.1E-07,1.1E-06
47,285,3.0,31.42,2,20,0.226,3.80,6.959E-04,1.152E-05,5.1E-07,9.5E-07
47,75,3.0,31.42,4,1,5299.333,0.12,3.525E-05,6.746E-02,1.3E-07,8.3E-05
47,75,3.0,31.42,4,2,3633.333,0.12,4.275E-05,4.626E-02,1.3E-07,5.8E-05
47,75,3.0,31.42,4,3,2338.000,0.13,5.250E-05,2.976E-02,1.3E-07,3.8E-05
47,75,3.0,31.42,4,4,1439.333,0.11,6.475E-05,1.832E-02,1.3E-07,2.0E-05
47,75,3.0,31.42,4,5,846.467,0.13,8.025E-05,1.078E-02,1.3E-07,1.4E-05
47,75,3.0,31.42,4,6,470.267,0.12,1.003E-04,5.987E-03,1.3E-07,7.1E-06
47,75,3.0,31.42,4,7,248.467,0.12,1.258E-04,3.163E-03,1.3E-07,4.0E-06
47,75,3.0,31.42,4,8,125.833,0.12,1.583E-04,1.602E-03,1.3E-07,2.1E-06
47,75,3.0,31.42,4,9,61.377,0.09,1.998E-04,7.814E-04,1.3E-07,8.5E-07
47,75,3.0,31.42,4,10,29.260,0.17,2.525E-04,3.725E-04,1.3E-07,7.4E-07
47,75,3.0,31.42,4,11,13.703,0.40,3.198E-04,1.745E-04,1.3E-07,8.3E-07
47,75,3.0,31.42,4,12,6.293,0.54,4.055E-04,8.011E-05,1.3E-07,5.6E-07
47,75,3.0,31.42,4,13,2.784,0.69,5.148E-04,3.545E-05,1.3E-07,3.7E-07
47,75,3.0,31.42,4,14,1.206,2.43,6.543E-04,1.535E-05,1.3E-07,5.0E-07
47,75,3.0,31.42,4,15,0.487,10.76,8.323E-04,6.194E-06,1.3E-07,7.9E-07
47,75,3.0,31.42,4,16,0.199,15.59,1.059E-03,2.537E-06,1.3E-07,5.2E-07
47,75,3.0,31.42,4,17,0.072,45.21,1.349E-03,9.206E-07,1.3E-07,5.4E-07
47,75,3.0,31.42,4,18,0.026,109.72,1.719E-03,3.248E-07,1.3E-07,4.8E-07
47,75,3.0,31.42,4,19,0.007,477.64,2.190E-03,8.292E-08,1.3E-07,5.2E-07
47,75,3.0,31.42,4,20,-0.007,341.66,2.792E-03,-9.107E-08,1.3E-07,4.4E-07
47,30,3.0,31.42,5,1,1343.667,0.19,8.813E-05,8.553E-03,6.4E-08,1.6E-05
47,30,3.0,31.42,5,2,798.533,0.18,1.069E-04,5.083E-03,6.4E-08,9.3E-06
47,30,3.0,31.42,5,3,444.300,0.18,1.313E-04,2.828E-03,6.4E-08,5.2E-06
47,30,3.0,31.42,5,4,237.267,0.22,1.619E-04,1.510E-03,6.4E-08,3.3E-06
47,30,3.0,31.42,5,5,122.333,0.12,2.006E-04,7.787E-04,6.4E-08,1.0E-06
47,30,3.0,31.42,5,6,60.560,0.20,2.506E-04,3.855E-04,6.4E-08,8.4E-07
47,30,3.0,31.42,5,7,29.247,0.33,3.144E-04,1.862E-04,6.4E-08,6.8E-07
47,30,3.0,31.42,5,8,13.780,0.15,3.956E-04,8.771E-05,6.4E-08,1.9E-07
47,30,3.0,31.42,5,9,6.274,0.85,4.994E-04,3.994E-05,6.4E-08,4.0E-07
47,30,3.0,31.42,5,10,2.765,3.45,6.313E-04,1.760E-05,6.4E-08,6.7E-07
47,30,3.0,31.42,5,11,1.128,4.57,7.994E-04,7.178E-06,6.4E-08,3.9E-07
47,30,3.0,31.42,5,12,0.455,19.80,1.014E-03,2.898E-06,6.4E-08,6.4E-07
47,30,3.0,31.42,5,13,0.152,19.30,1.287E-03,9.650E-07,6.4E-08,2.5E-07
47,30,3.0,31.42,5,14,0.049,110.46,1.636E-03,3.133E-07,6.4E-08,4.1E-07
47,30,3.0,31.42,5,15,0.003,1453.36,2.081E-03,1.924E-08,6.4E-08,3.4E-07
47,30,3.0,31.42,5,16,-0.008,742.25,2.648E-03,-4.806E-08,6.4E-08,4.2E-07
47,30,3.0,31.42,5,17,-0.033,101.34,3.373E-03,-2.112E-07,6.4E-08,2.8E-07
47,30,3.0,31.42,5,18,-0.028,200.30,4.297E-03,-1.788E-07,6.4E-08,4.2E-07
