TEM,f (Hz),I (A),NA (m2),Gain,Gate,Vsys (mV),N (%),Time (s),V (mV/Am2),b (mV/Am2),N (mV/Am2)
47,285,3.0,31.42,1,1,6039.000,0.05,6.813E-06,6.150E-01,1.0E-06,3.1E-04
47,285,3.0,31.42,1,2,4302.667,0.06,8.688E-06,4.382E-01,1.0E-06,2.6E-04
47,285,3.0,31.42,1,3,2733.000,0.07,1.113E-05,2.783E-01,1.0E-06,2.0E-04
47,285,3.0,31.42,1,4,1625.000,0.06,1.419E-05,1.655E-01,1.0E-06,1.0E-04
47,285,3.0,31.42,1,5,903.800,0.08,1.807E-05,9.205E-02,1.0E-06,7.2E-05
47,285,3.0,31.42,1,6,468.567,0.08,2.306E-05,4.772E-02,1.0E-06,3.7E-05
47,285,3.0,31.42,1,7,226.800,0.09,2.944E-05,2.310E-02,1.0E-06,2.1E-05
47,285,3.0,31.42,1,8,103.800,0.10,3.756E-05,1.057E-02,1.0E-06,1.1E-05
47,285,3.0,31.42,1,9,45.170,0.07,4.794E-05,4.600E-03,1.0E-06,4.1E-06
47,285,3.0,31.42,1,10,19.450,0.08,6.113E-05,1.981E-03,1.0E-06,2.5E-06
47,285,3.0,31.42,1,11,8.853,0.14,7.794E-05,9.016E-04,1.0E-06,2.3E-06
47,285,3.0,31.42,1,12,4.254,0.60,9.938E-05,4.333E-04,1.0E-06,3.6E-06
47,285,3.0,31.42,1,13,2.258,0.60,1.267E-04,2.300E-04,1.0E-06,2.4E-06
47,285,3.0,31.42,1,14,1.163,0.49,1.664E-04,1.185E-04,1.0E-06,1.6E-06
47,285,3.0,31.42,1,15,0.695,0.61,2.060E-04,7.078E-05,1.0E-06,1.5E-06
47,285,3.0,31.42,1,16,0.321,4.15,2.628E-04,3.271E-05,1.0E-06,2.4E-06
47,285,3.0,31.42,1,17,0.178,5.93,3.352E-04,1.815E-05,1.0E-06,2.1E-06
47,285,3.0,31.42,1,18,0.083,6.25,4.277E-04,8.504E-06,1.0E-06,1.6E-06
47,285,3.0,31.42,1,19,0.035,1.76,5.456E-04,3.612E-06,1.0E-06,1.1E-06
47,285,3.0,31.42,1,20,0.017,16.29,6.959E-04,1.757E-06,1.0E-06,1.3E-06
47,75,3.0,31.42,5,1,1836.333,0.14,3.525E-05,1.169E-02,6.4E-08,1.6E-05
47,75,3.0,31.42,5,2,969.500,0.16,4.275E-05,6.171E-03,6.4E-08,9.7E-06
47,75,3.0,31.42,5,3,478.600,0.13,5.250E-05,3.046E-03,6.4E-08,3.9E-06
